"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","J.D","D.N","DJF","MAM","JJA","SON","Year"
"1919",-16,-20,-18,-9,-17,-18,-18,-15,-12,-18,-45,-32,-20,-20,-23,-15,-17,-25,1919
"1920",-12,-21,0,-13,-9,-18,-23,-18,-19,-26,-28,-45,-19,-18,-22,-7,-20,-24,1920
"1921",-5,-17,-14,-16,-20,-14,0,-27,-20,-8,-16,-17,-14,-17,-22,-17,-14,-15,1921
"1922",-33,-37,-21,-26,-31,-26,-17,-26,-30,-27,-16,-19,-26,-26,-29,-26,-23,-24,1922
"1923",-24,-28,-23,-35,-36,-23,-27,-31,-27,-9,2,-1,-22,-23,-24,-32,-27,-11,1923
"1924",-23,-26,-9,-33,-22,-21,-19,-21,-24,-24,-13,-30,-22,-20,-17,-21,-20,-20,1924
"1925",-32,-27,-18,-18,-24,-28,-20,-14,-16,-21,0,15,-17,-21,-30,-20,-21,-12,1925
"1926",20,11,23,-7,-14,-16,-8,1,-5,-1,-5,-21,-2,1,16,0,-8,-4,1926
"1927",-20,-6,-31,-24,-21,-17,-6,-16,-8,3,-2,-30,-15,-14,-16,-26,-13,-2,1927
"1928",3,-3,-19,-25,-25,-28,-10,-16,-11,-11,-1,-8,-13,-15,-10,-23,-18,-7,1928
"1929",-32,-43,-23,-30,-32,-33,-27,-25,-21,-7,-1,-41,-26,-24,-28,-28,-28,-10,1929
"1930",-16,-15,-4,-17,-18,-16,-9,-4,-8,-8,17,0,-8,-12,-24,-13,-10,0,1930
"1931",0,-17,-2,-14,-11,3,11,3,-8,5,-2,2,-2,-3,-6,-9,6,-2,1931
"1932",15,-14,-12,-4,-11,-19,-10,-11,2,3,-16,-16,-8,-6,1,-9,-13,-4,1932
"1933",-22,-19,-18,-16,-16,-19,-7,-12,-19,-15,-25,-39,-19,-17,-19,-17,-12,-20,1933
"1934",-16,1,-25,-24,-5,-6,-1,-5,-14,-1,9,4,-7,-10,-18,-18,-4,-2,1934
"1935",-26,23,-4,-28,-23,-15,-11,-13,-14,0,-22,-12,-12,-11,0,-18,-13,-12,1935
"1936",-21,-28,-15,-11,-10,-7,12,0,-2,6,7,11,-5,-7,-20,-12,2,4,1936
"1937",3,20,-7,-9,2,4,9,8,18,15,19,0,7,8,11,-4,7,17,1937
"1938",16,10,23,20,6,-3,8,6,13,20,16,-10,10,11,8,16,4,16,1938
"1939",1,-2,-14,-7,-1,1,5,-2,0,-4,5,37,1,-2,-4,-8,1,0,1939
"1940",-17,1,3,11,4,3,19,-3,7,2,6,12,4,6,7,6,7,5,1940
"1941",10,22,4,14,9,7,12,1,-13,20,11,21,10,9,15,9,7,6,1941
"1942",21,-9,-1,0,8,4,1,-2,1,2,2,5,3,4,11,2,1,2,1942
"1943",-13,12,-8,8,16,2,15,5,4,23,19,25,9,7,1,5,7,16,1943
"1944",35,24,20,10,19,12,18,15,26,24,16,12,19,20,28,16,15,22,1944
"1945",16,11,11,17,-3,0,3,14,0,8,6,-8,6,8,13,9,6,4,1945
"1946",13,7,-4,7,-7,-15,-2,-19,-3,-4,-4,-26,-5,-3,4,-1,-12,-4,1946
"1947",-3,-1,14,5,-3,-8,-2,-4,-7,12,12,-10,0,-1,-10,5,-5,5,1947
"1948",13,-9,-8,-5,5,4,-10,-8,-9,0,-5,-19,-4,-3,-2,-3,-5,-5,1948
"1949",14,-16,-4,-11,-8,-21,-10,-5,-6,-1,-6,-10,-7,-8,-7,-8,-12,-4,1949
"1950",-25,-27,-2,-18,-14,-5,-8,-19,-11,-16,-29,-10,-15,-15,-21,-12,-11,-19,1950
"1951",-31,-39,-17,-9,2,-4,-1,11,9,14,3,18,-4,-6,-27,-8,2,9,1951
"1952",14,14,-8,6,0,4,8,10,9,-3,-13,-3,3,5,15,-1,7,-2,1952
"1953",11,18,16,19,8,5,6,10,10,10,2,15,11,9,9,14,7,8,1953
"1954",-17,-3,-7,-9,-16,-12,-21,-17,-12,-3,13,-11,-10,-7,-2,-11,-17,-1,1954
"1955",19,-13,-28,-16,-17,-12,-6,11,-7,2,-21,-28,-10,-8,-1,-20,-2,-9,1955
"1956",-15,-23,-22,-21,-22,-13,-8,-25,-14,-20,-16,-6,-17,-19,-22,-22,-15,-17,1956
"1957",-6,3,2,10,12,16,1,12,8,4,12,17,8,6,-3,8,10,8,1957
"1958",41,23,14,5,7,-8,8,-1,-3,5,5,4,8,9,27,9,0,2,1958
"1959",11,11,22,15,10,7,7,1,-8,-3,-7,4,6,6,9,16,5,-6,1959
"1960",1,18,-32,-13,-6,-3,0,6,5,6,-9,20,-1,-2,8,-17,1,0,1960
"1961",5,21,10,11,22,12,1,3,8,7,5,-15,7,10,15,14,5,7,1961
"1962",5,18,12,11,-10,7,-3,-5,2,1,8,0,4,3,3,5,0,4,1962
"1963",1,19,-13,-7,-2,6,14,26,25,9,14,3,8,8,7,-8,15,16,1963
"1964",-5,-8,-26,-33,-28,-2,-5,-24,-37,-30,-20,-30,-21,-18,-3,-29,-11,-29,1964
"1965",-10,-18,-10,-19,-6,-11,-20,-6,-16,-6,-6,-5,-11,-13,-19,-12,-13,-10,1965
"1966",-16,-1,11,-12,-7,-1,11,-5,1,-15,0,-4,-3,-3,-8,-3,2,-5,1966
"1967",-7,-23,7,-2,11,-6,6,1,0,10,-2,-1,-1,-1,-11,6,0,3,1967
"1968",-22,-14,24,-5,-9,0,-8,-5,-14,13,-3,-12,-4,-4,-12,4,-4,-1,1968
"1969",-7,-8,-2,20,13,11,-4,0,9,14,16,30,8,4,-9,10,2,13,1969
"1970",10,23,9,4,-5,-2,-1,-12,13,3,4,-12,3,6,21,3,-5,7,1970
"1971",-2,-20,-21,-11,-12,-22,-11,-2,-2,-5,-7,-11,-11,-11,-11,-15,-12,-5,1971
"1972",-26,-20,-2,-1,-2,6,0,20,5,4,-2,18,0,-2,-19,-2,9,2,1972
"1973",26,29,26,24,22,16,9,1,7,13,4,-8,14,16,24,24,9,8,1973
"1974",-14,-27,-5,-12,-5,-5,-2,10,-9,-7,-10,-11,-8,-8,-16,-7,1,-9,1974
"1975",1,1,11,-3,18,-3,-5,-21,-6,-11,-17,-22,-5,-4,-3,9,-10,-11,1975
"1976",-8,-11,-28,-16,-29,-15,-13,-20,-12,-29,-11,0,-16,-18,-14,-24,-16,-17,1976
"1977",10,15,15,19,29,23,19,17,-5,-5,12,2,12,12,8,21,20,1,1977
"1978",3,8,11,9,1,-8,4,-21,5,-4,6,1,1,1,4,7,-9,3,1978
"1979",6,-18,8,10,-6,4,-7,9,18,18,19,39,8,5,-4,4,2,18,1979
"1980",21,28,23,26,28,9,22,17,12,8,22,8,19,21,29,26,16,14,1980
"1981",47,35,44,23,14,21,29,31,11,6,18,28,26,24,30,27,27,12,1981
"1982",0,7,-12,-4,11,1,11,-3,1,2,3,34,4,4,12,-2,3,2,1982
"1983",42,34,36,27,30,14,11,27,34,9,23,10,25,27,37,31,18,22,1983
"1984",22,7,22,3,29,-2,11,11,16,4,-5,-15,9,11,13,18,7,5,1984
"1985",15,-14,11,5,5,12,-8,10,6,4,-1,7,4,2,-5,7,5,3,1985
"1986",19,37,25,18,16,4,5,7,0,5,1,6,12,12,21,20,6,2,1986
"1987",25,38,11,17,16,32,41,19,30,26,21,42,27,23,23,15,31,26,1987
"1988",51,35,45,35,38,40,26,31,30,29,-3,19,31,33,43,39,33,19,1988
"1989",3,27,27,17,4,5,28,26,31,25,8,26,19,19,17,16,20,22,1989
"1990",31,28,64,47,38,26,45,25,16,39,42,36,36,36,28,50,32,32,1990
"1991",33,45,27,45,30,49,47,37,39,21,18,24,35,36,38,34,44,26,1991
"1992",39,34,37,13,23,16,1,1,-11,-4,-10,12,13,14,32,25,6,-8,1992
"1993",27,28,28,16,16,11,13,3,0,14,2,4,13,14,22,20,9,5,1993
"1994",23,-6,18,29,16,34,23,15,30,38,34,25,23,21,7,21,24,34,1994
"1995",42,71,42,38,6,37,47,38,23,43,36,23,37,37,46,29,41,34,1995
"1996",25,45,32,25,18,16,35,44,24,14,34,30,29,28,31,25,32,24,1996
"1997",26,29,46,30,30,52,26,34,40,51,55,53,39,37,28,35,37,49,1997
"1998",52,81,55,54,64,71,65,63,41,40,42,48,56,57,62,58,67,41,1998
"1999",39,58,25,23,20,34,30,27,29,31,28,33,31,33,49,23,30,30,1999
"2000",16,51,48,50,28,36,36,38,32,17,25,21,33,34,33,42,37,25,2000
"2001",38,40,54,40,49,45,51,45,47,43,65,51,47,45,33,48,47,52,2001
"2002",72,70,87,55,56,46,56,45,51,50,50,37,56,57,64,66,49,50,2002
"2003",66,50,52,49,52,40,49,62,60,67,48,68,55,53,51,51,50,58,2003
"2004",52,65,58,51,34,34,19,41,45,57,65,50,48,49,62,48,31,56,2004
"2005",71,56,70,61,56,59,55,57,68,72,64,62,63,62,59,62,57,68,2005
"2006",46,61,58,42,38,55,42,66,57,59,63,71,55,54,56,46,54,60,2006
"2007",90,63,64,68,60,52,55,54,50,54,47,40,58,61,75,64,54,50,2007
"2008",18,26,66,43,41,34,52,34,53,56,58,47,44,43,28,50,40,55,2008
"2009",55,46,47,50,53,61,66,57,65,61,68,60,57,56,49,50,61,64,2009
"2010",70,75,86,75,64,55,51,54,55,63,71,41,63,65,68,75,53,63,2010
