"","Date","location","operator","planeType","Dead","Aboard","Ground"
"51","1921-04-06","Point Cook, Australia","Military - Royal Australian Air Force","Avro 504",1,2,0
"52","1921-04-21","Mitchel Field, NY","US Aerial Mail Service","De Havilland DH-4",1,1,0
"53","1921-04-29","Cleveland, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0
"54","1921-05-17","Rock Springs, Wyoming","US Aerial Mail Service","De Havilland DH-4
De Havilland DH-4",1,1,0
"55","1921-07-16","San Francisco, California","US Aerial Mail Service","De Havilland DH-4",1,1,0
"56","1921-08-14","Toulouse, France","Aeropostale","Breguet 14",2,2,0
"57","1921-08-24","River Humber, England","Military - Royal Airship Works","Royal Airship Works ZR-2 (airship)",46,46,1
"58","1921-09-06","Paris, France","Franco-Roumaine","Potez IX",5,5,0
"59","1921-12-05","Near Murchinson River, Australia","West Australian Airways","Bristol 28 Tourer",3,3,0
"60","1922-01-14","Paris, France","Handley Page Transport","Handley Page O/10",5,5,5
"61","1922-02-21","Near Norfolk, Virginia","Military - U.S. Army Air Service","Dirigible Roma (airship)",34,45,0
"62","1922-03-22","North Atlantic Ocean","Aero Limited","Aeromarine Model 85 (flying boat)",5,6,0
"63","1922-04-07","Grandvilliers, France","Daimler Airways / Grands Express Aeriens","de Havilland DH-18 / Farman F-60 Goliath",7,7,0
"64","1922-04-08","Pao Ting Fou, China","?","?",17,17,0
"65","1922-04-13","Brooklands, England","Vickers","Vickers Viking",3,3,0
"66","1922-06-03","Off Folkestone, Kent, England","Cie des Messageries Aeriennes","Bleriot Spad 27",3,3,0
"67","1922-07-04","Fuhlsbuttel, Germany","?","LVG C VI",2,3,0
"68","1922-07-16","Near Saverne, Lorraine, France","Compagnie Franco-Roumaine de Navigaation Aerienne","Potez 29",5,5,0
"69","1922-07-26","Cadix, Spain","Grands Express Aeriens","Breguet 14",3,3,0
"70","1922-09-07","Indianapolis, Indiana","US Aerial Mail Service","De Havilland DH-4",1,1,0
"71","1922-10-02","Venice, Italy","?","de Havilland DH-9",4,4,0
"72","1922-10-25","Larache, Morocco","Grands Express Aeriens","Breguet 14",2,2,0
"73","1922-12-03","Fez, Morocco","Grands Express Aeriens","Breguet 14",1,1,0
"74","1923-01-10","Ajaccio, France","Amee de l'Air","Lior????-et-Olivier H-13",3,4,0
"75","1923-01-17","Barcelona, Spain","Grands Express Aeriens","Breguet 14",1,1,0
"76","1923-01-18","Cheyenne, Wyoming","US Aerial Mail Service","De Havilland DH-4",1,1,0
"77","1923-02-26","Meadville, Pennsylvania","US Aerial Mail Service","De Havilland DH-4",1,1,0
"78","1923-05-14","Near Amiens, Picrdie, France","Grands Express Aeriens (Air Union)","Farman F-60 Goliath",6,6,0
"79","1923-08-27","Bucharest, Romania","Campagnie France Roumaine","Bl????riot Spad 46",2,2,0
"80","1923-09-07","Colton, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0
"81","1923-09-14","Near Ivinghoe, Buckinghamshire, England","Daimler Airways","de Havilland DH-34",5,5,0
"82","1923-11-18","Russia","CCCP","Junkers F-13",2,4,0
"83","1923-12-06","Castalia, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0
"84","1923-12-23","Over the Mediterranean Sea","Military - French Navy","Zeppelin Dixmunde (airship)",52,52,0
"85","1923-12-24","Egbert, WY","US Aerial Mail Service","De Havilland DH-4",1,1,0
"86","1924-03-07","Grampian, Pennsylvania","US Aerial Mail Service","De Havilland DH-4",1,1,0
"87","1924-04-24","Over the English Channel","KLM Royal Dutch Airlines","Fokker F.III",3,3,0
"88","1924-06-08","Barranquilla, Colombia","SCADTA","Junkers F-13",5,5,0
"89","1924-08-01","United States","US Aerial Mail Service","De Havilland DH-4",1,1,0
"90","1924-11-06","Cabrerolles, France","Grands Express Aeriens","?",1,1,0
"91","1924-12-21","Goshen, Indiana","US Aerial Mail Service","De Havilland DH-4",1,1,0
"92","1924-12-24","Purley, England","Imperial Airways","de Havilland DH-34B",8,8,0
"93","1925-03-22","Near Tiflis, Georgia, USSR","Zakavia","Junkers F-13",5,3,0
"94","1925-04-25","Alicante, Spain","Grands Express Aeriens","Breguet 14",4,4,0
"95","1925-05-25","Alicante, Spain","Lignes Aeriennes Latecoere","Breguet 14",2,2,0
"96","1925-06-25","Landr????cies, France","KLM Royal Dutch Airlines","Fokker (KLM)  F.III",4,4,0
"97","1925-06-26","Alicante, Spain","Grands Express Aeriens","Lior????-et-Olivier H-13",2,2,0
"98","1925-07-20","Rosas, Spain","Lignes Aeriennes Latecoere","Breguet 14",1,1,0
"99","1925-07-24","Budapest, Hungary","CIDNA","Potez IX",1,1,0
"100","1925-09-03","Caldwell, Ohio","Military - U.S. Navy","Dirigible ZR-1 Shenandoah (airship)",14,43,0
"101","1925-09-07","Toul, France","CIDNA","?",3,3,0
"102","1925-10-01","Nittany Mt, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0
"103","1925-11-14","Off Boulogne-sur-Mer, France","Air Union","Farman F-60 Goliath",2,2,0
"104","1926-02-12","Montpelier, Ohio","US Aerial Mail Service","Curtiss Carrier Pigeon",1,1,0
"105","1926-03-08","Staaken, Germany","Deutche Lufthansa","Junkers F-13",1,1,0
"106","1926-05-31","English Channel","Air Union","Breguet 14",1,1,0
"107","1926-07-03","Rossaugpt, Czechoslovakia","Compagnie Internationale de Navigation A????rienne","Caudron C-61",6,6,0
"108","1926-07-09","Wolvertem, Belgium","KLM Royal Dutch Airlines","Fokker F-4",2,2,0
"109","1926-07-24","Juist, Germany","Deutsche Lufthansa","Junkers F-13",4,4,0
"110","1926-08-18","Hurst, Kent, England","Air Union","Bleriot 155",4,4,0
"111","1926-09-26","New York, New York","?","Sikorsky S-25",2,5,0
"112","1926-10-08","Bueren, Germany","Deutsche Lufthansa","Fokker FG III",4,4,0
"113","1926-10-21","English Channel","Imperial Airways","Handley Page W-10",0,12,0
"114","1926-11-11","Cape Bojador, Morocco","Grands Express Aeriens","Breguet 14",3,3,0
"115","1926-12-16","Medford, Oregon","Pacific Air Transport","Ryan M-1",1,1,0
"116","1927-01-12","Estaires, France","Fokker","Fokker F-VII",2,2,0
"117","1927-03-20","Rabat, Morocco","Grands Express Aeriens","Breguet 14",1,1,0
"118","1927-03-24","Tambo, Qld, Australia","Qantas","de Havilland DH-9C",3,3,0
"119","1927-04-15","King Hill, Idaho","Varney Air Lines","Swallow
Swallow",1,1,0
"120","1927-04-22","Floh, Germany","Deutsche Lufthansa","Fokker FG III",2,2,0
"121","1927-04-22","Goshen, Indiana","US Aerial Mail Service","Douglas M-4",1,1,0
"122","1927-05-02","Algiers, Algeria","Air Union","SPCA Meteore 63",1,3,0
"123","1927-07-27","Amoneburg, Germany","Deutsche Lufthansa","Junkers F-13",5,5,0
"124","1927-08-22","Sevenoaks, England","KLM Royal Dutch Airlines","Fokker F-VIII",1,11,0
"125","1927-09-03","Willington, Connecticut","Colonial Air Transport","Fokker Universal",1,1,0
"126","1927-09-17","Hadley, New Jersey","Reynolds Airways","Fokker F-VII",7,12,0
"127","1927-09-17","Near Dunellen, New Jersey","Reynolds Airways","Fokker F-V!!b-3m",7,7,0
"128","1927-09-23","Schleiz, Germany","Deutsche Lufthansa","Dornier Merkur",6,6,0
"129","1927-09-23","Near schleiz, Thuringia,, Germany","Deutsche Lufthansa","Dornier Merkur D-585",6,6,0
"130","1927-10-06","Thies, Mauritania","Lignes Aeriennes Latecoere","Breguet 14",2,2,0
"131","1927-10-30","New Brunswick, New Jersey","Colonial Air Transport","Fairchild FC-2",4,4,0
"132","1927-11-16","Strasburg, France","CIDNA","Farman F-121 Jabiru",1,1,0
"133","1927-11-16","Over the Gulf of Finland","Aero O-Y","Junkers F-13",6,6,0
"134","1927-11-29","Corunna, Indiana","National Air Transport","Douglas M-4",1,1,0
"135","1927-12-26","Almeria, Spain","Aeropostale","Breguet 14",2,2,0
"136","1927-12-28","Abuerio, Spain","Aeropostale","Breguet 14",1,1,0
"137","1927-12-31","Near Marseille,France","Latecoere Airlines","Lat????co????re 23 (flying boat)",5,5,0
"138","1928-01-08","Near Canajoharie, New York","Colonial Western Airlines","Fairchild FC-2",3,3,0
"139","1928-01-16","Solis, Uruguay","Aeropostale","Latecoere 25",2,2,0
"140","1928-01-22","France","Aeropostale","Breguet 14",1,2,0
"141","1928-01-22","Tarragona, Spain","Aeropostale","Breguet 14",2,2,0
"142","1928-01-27","Almeria, Spain","Aeropostale","Breguet 14",1,1,0
"143","1928-02-26","Marquette, Nebraska","Boeing Air Transport","Boeing 40",1,2,0
"144","1928-03-03","Rio de Janeiro, Brazil","?","?",10,10,0
"145","1928-03-11","Off Cape Griz Nez, France","Air Union","Farman F-60 Goliath",2,2,0
"146","1928-04-17","Federal, Wyoming","Boeing Air Transport","Boeing 40",1,2,0
"147","1928-04-19","Minuesa, Spain","Iberia Airlines","Rohrbach Roland",9,9,0
"148","1928-05-07","Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil","Aeropostale","Latecoere 26",1,1,0
"149","1928-05-12","Dearborn, Minnesota","Ford Air Freight Inc.","Ford 4",2,2,0
"150","1928-05-26","Radevormwald, Germany","Deutsche Lufthansa","Junkers F-13",3,5,0
"151","1928-06-14","Frankfurt, Germany","Deutsche Lufthansa","AEGK",5,5,0
"152","1928-06-22","Lebo, Kansas","National Air Transport","Douglas M-4",1,1,0
"153","1928-07-10","Over the Gulf of Finland","Aero O-Y","Junkers F-13",6,6,0
"154","1928-07-13","Purley, England","Imperial Airways","Vickers 74 Vulcan",4,4,0
"155","1928-07-24","Waalhaven, Netherlands","KLM Royal Dutch Airlines","Fokker (KLM) F.III",1,6,0
"156","1928-08-25","Near Port Townsend, BC, Canada","British Columbia Airways","Ford 4-AT-B Tri Motor",7,7,0
"157","1928-09-02","Toul, France","CIDNA","Bleriot Spad 33",5,5,0
"158","1928-09-04","Pocatello, Idaho","National Parks Airways","Fokker Super Universal",7,7,0
"159","1928-09-04","Adelaide Hills, Australia","Qantas","de Havilland DH.50J",1,2,0
"160","1928-09-06","Heroldbach, Germany","Deutsche Lufthansa","Fokker FG III",3,3,0
"161","1928-10-04","Gerona, Spain","Aeropostale","Breguet 14",3,3,0
"162","1928-10-18","Polk, Pennsylvania","National Air Transport","Douglas M-4",1,1,0
"163","1928-10-31","Valence, France","Air Union","Bleriot Spad 56",1,2,0
"164","1928-11-15","Off Gibraltar","Aeropostale","Latecoere 32",1,2,0
"165","1928-11-24","Edgerton, Ohio","Universal Airlines","Hamilton H-47",3,3,0
"166","1928-11-25","Edgerton, Ohio","Continental Air Lines","Travel Air 4000",3,3,0
"167","1928-11-25","Bristolville, Ohio","National Air Transport","Douglas M-4",1,1,0
"168","1928-12-01","Spur, Texas","Sunbeam Air Transport Co.","Ford 4-AT-B Tri Motor",5,5,0
"169","1928-12-03","Brazil","Syndicato Condor","Dornier Wal",14,14,0
"170","1928-12-04","Rio de Janeiro, Brazil","?","Junkers G24",6,6,0
"171","1928-12-11","Letzlingen, Germany","Deutsche Lufthansa","Junkers G-31",3,4,0
"172","1928-12-20","Huron, Ohio","National Air Transport","Douglas M-4",1,1,0
"173","1928-12-23","Chattanooga, Tennessee","Interstate Airlines","Fairchild FC-2",4,4,0
"174","1928-12-31","Reims, France","CIDNA","Bl????riot Spad 66",2,3,0
"175","1929-01-05","Stafford Springs, Connecticut","Colonial Air Transport","Fairchild FC-2",1,1,0
"176","1929-01-18","Cove, Oregon","Varney Air Lines","Stearman C-38",1,1,0
"177","1929-01-25","Near Corfu, Greece","Aeroespresso","CMASA Wal",2,9,0
"178","1929-01-31","Morgantown, West Virginia","Skyline Transportation Company","Travel Air 4000",1,1,0
"179","1929-01-31","Off Morocco","Aeropostale","Latecoere 26",2,2,0
"180","1929-03-17","Newark, New Jersey","Colonial Western Airlines","Ford 5-AT-B Tri Motor",14,15,0
"181","1929-03-30","Near Beaumont, California","New Standard Airlines","Fokker F-VIIA",4,4,0
"182","1929-04-21","San Diego, California","Maddux Airlines / Military - U.S.Army Air Force","Ford 5-AT-B Tri-Motor / B-PW-9D",6,6,0
"183","1929-05-18","Hungary","MALERT","Fokker F-III",2,2,0
"184","1929-05-22","Algiers","Aeropostale","Cams 53",4,5,0
"185","1929-06-10","Santiago de Cuba, Cuba","Pan American Airways","Fokker F-X",2,5,0
"186","1929-06-14","Barcelona, Spain","Aeropostale","Breguet 14",1,2,0
"187","1929-06-17","Off Dungeness, England","Imperial Airways","Handley Page W-10",7,13,0
"188","1929-06-24","St. Paul, Minnesota","Northwest Orient Airlines","Ford 5-AT-B Tri-Motor",1,8,0
"189","1929-06-29","Columbus, Ohio","Continental Air Lines","Travel Air 4000",1,1,0
"190","1929-06-29","Near Lindau, Bavaria, Germany","Bodensee Aerolloyd","Domier Delphin III (flying boat)",5,5,0
"191","1929-08-11","Clovis, New Mexico","Middle States Airlines","Lockheed Vega",4,4,0
"192","1929-08-13","Perpignan, France","Aeropostale","Breguet 14",1,1,0
"193","1929-08-24","Sochi, Russia","Ukvozduchput","Kalinin K-4",1,1,0
"194","1929-08-24","Elm, Germany","Deutsche Lufthansa","Fokker FG II",4,5,0
"195","1929-09-02","Needles, California","Associated Aviators","Lockheed Vega",1,2,0
"196","1929-09-03","Mt. Taylor, near Grants, New Mexico","Trans Continental Air Transport","Ford 5-AT-B Tri Motor",8,8,0
"197","1929-09-06","Jask, Iran","Imperial Airways","de Havilland DH-66 Hercules",3,5,0
"198","1929-09-14","North Atlantic Ocean","Aeropostale","Latecoere",6,6,0
"199","1929-09-17","Off Larache, Morocco","Aeropostale","Latecoere 25-3-R",5,5,0
"200","1929-09-17","Mt Lamentation, Connecticut","Colonial Air Transport","Pitcairn PA-6 Mailwing",1,1,0
"201","1929-09-17","Jacumba, California","Pickwick Airways","Fairchild 71",1,2,0
"202","1929-10-26","Off Spezia, Italy","Imperial Airways","Short Calcutta (flying boat)",7,7,0
"203","1929-10-29","Mount Vernon, Ohio","Continental Air Lines","Stearman C-38",1,1,0
"204","1929-10-31","Off Bremerton, Washington","Bremerton-Seattle Air Taxi / Gorst Air Lines","Loening C-2C",2,2,0
"205","1929-11-04","Cerro del Carbon, Mexico","Corp. Aeronautica de Transportes","Lockheed Vega 5",4,4,0
"206","1929-11-06","Near Godstone, Surrey, England","Deutsche Lufthansa","Junkers G-24",7,8,0
"207","1929-11-15","Off Corsica, France","Air Union","Liore et Olivier 190",3,3,0
"208","1929-11-20","Terranova Pausania, East Sardinia","S.A.M. Societ???? Aerea Mediterranea","Savoia Marchetti S55",1,8,0
"209","1929-11-30","Vancouver, Washington","Varney Air Lines","Stearman M-2 Speedmail",1,1,0
"210","1929-12-02","Chagrin Falls, Ohio","National Air Transport","Douglas M-3",1,1,0
"211","1929-12-14","Mediterranean Sea","Aeropostale","Bernard 192",3,3,0
"212","1929-12-19","Near Berlin, Germany","Deutsche Lufthansa","Arado V1",2,3,0
"213","1929-12-30","Amarillo, Texas","Trans Continental Air Transport","Travel Air B6000",5,5,0
"214","1930-01-10","Brawnson, Nebraska","Boeing Air Transport","Boeing 95",1,1,NA
"215","1930-01-13","Antananarivo, Madagascar","Air Orient","Farman 190",3,3,NA
"216","1930-01-19","Oceanside, California","Maddux Airlines","Ford 5-AT-C Tri Motor",16,16,NA
"217","1930-01-25","Off Ceuta, Spain","Aeropostale","Latecoere 25",2,2,NA
"218","1930-01-27","Kansas City, Missouri","Central  Airlines (Universal Aviation Corporation)","Travel Air A6000A",5,5,NA
"219","1930-02-03","Hartford, Connecticut","Colonial Air Transport","Pitcairn PA-6 Mailwing",1,1,NA
"220","1930-02-10","Marden, England","Air Union","Farman F-63",2,2,NA
"221","1930-04-18","Jersey City, New Jersey","Canadian Colonial Airways","Fairchild 71",4,4,NA
"222","1930-05-10","Buenos Aires","Aeropostale","Latecoere 28",4,3,NA
"223","1930-06-05","Boston, Massachusetts","Colonial Air Transport","Ford Tri-Motor 5",15,1,NA
"224","1930-07-07","Bornholm, Denmark","Deutsche Lufthansa","Dornier Wal",8,5,NA
"225","1930-07-10","Arkansas Pass, Texas","Cross Airways","Lockheed Vega 5",5,5,NA
"226","1930-07-21","Near Meopham, Kent, England","Walcot Air Line","Junkers F-13ge",6,6,NA
"227","1930-08-22","Iglau, Czechoslovakia","Ceskoslovenske Aerolinie","Ford 5-AT-C Tri Motor",11,10,NA
"228","1930-09-11","Croydon, England","Sabena","Sabca F-VII",2,2,NA
"229","1930-09-25","Southesk, Saskatchewan, Canada","Western Canada Airways","?",3,3,NA
"230","1930-10-05","Near Beauvais, France","Military - British Air Ministry","Royal Airship Works R-101",54,48,NA
"231","1930-10-06","Dresden, Germany","Deutsche Lufthansa","Messerschmitt M-20B",8,8,NA
"232","1930-10-12","La Rache, Morocco","Aeropostale","Latecoere 28",4,4,NA
"233","1930-10-28","Prince Rupert, BC, Canada","Alaska-Washington Airways","Lockheed Vega",3,3,NA
"234","1930-10-30","Near Neufchatel, France","Imperial Airways","Handley Page W-8",6,3,NA
"235","1930-10-30","Brookston, Indiana","Embry Riddle Company","Pitcairn PA-6 Mailwing",1,1,NA
"236","1930-11-07","Off of Santos, Brazil","Syndicato Condor","Junkers G-24",9,1,NA
"237","1930-11-18","Techachapi Mountains, California","Pacific Air Transport","Boeing 40",3,3,NA
"238","1930-12-09","Shanghai, China","China National Aviation Corporation","Loening C-W Air Yaht",6,4,NA
"239","1931-01-08","Melle, Belgium","Sabena","Fokker F-VII",2,2,0
"240","1931-01-22","Bluff Mountain, Washington","Varney Air Lines","Boeing 40",1,1,0
"241","1931-02-08","Wairoa, New Zealand","Dominion Air Lines","Desoutter II",1,1,0
"242","1931-02-20","Bagot, Manitoba, Canada","Western Canada Airways","Fokker Universal F-14",2,3,0
"243","1931-02-24","Off Spain","Aeropostale","Latecoere 32",1,3,0
"244","1931-03-21","New South Wales, Australia","Australian National Airways","Avro 10",8,8,0
"245","1931-03-31","Bazaar, Kansas","Trans Continental and Western Air","Fokker F10A Trimotor",8,8,0
"246","1931-04-14","Near Letschen, Germany","Deutsche Lufthansa","Messerschmitt M-20",2,10,0
"247","1931-05-05","Burbank, California","Pacific Air Transport","Boeing 40",2,2,0
"248","1931-05-22","Wampit, Australia","Guiena Airways","Junkers W-34",1,1,0
"249","1931-05-24","Bellefonte, Pennsylvania","National Air Transport","Boeing 95",1,1,0
"250","1931-06-07","Near Sandoway, Burma","Air Orient","Fokker F-VIIB",4,4,0
"251","1931-06-11","Walbridge, Ohio","Rubner Flying Service","Lockheed Vega 2",2,3,0
"252","1931-06-13","Saarbrucken, Germany","Deutsche Lufthansa","Dornier Merkur",4,4,0
"253","1931-07-12","Chicago, Illinois","Braniff Airlines","Lockheed Vega",2,2,0
"254","1931-07-14","Temora, Australia","Australian Aerial Services","Lasco Lascowl",2,2,0
"255","1931-07-21","Centralia, Illinois","American Airways","Pitcairn PA-6 Mailwing",1,1,0
"256","1931-07-24","Kurudjevo, Bulgaria","CIDNA","Fokker F-VII",7,7,0
"257","1931-08-09","Cincinnati, Ohio","American Airways","Ford 5-AT-C Tri Motor",6,6,0
"258","1931-09-14","Chicago, Illinois","Chicago-Detroit Airways","Lockheed Vega",1,1,0
"259","1931-09-15","Near Craiova, Oltenia, Romania","CIDNA","Fokker F-VIIb-3m",6,6,0
"260","1931-09-16","Oakland, California","Pacific Air Transport","Boeing 40",4,4,0
"261","1931-10-06","Novia Scotia, Canada","Deutsche Lufthansa","Heinkel HE-2",3,3,0
"262","1931-10-14","Brazil","Syndicato Condor","Dornier Wal",3,3,0
"263","1931-11-05","Camden, New Jersey","NY, Phil., Washington AW","Lockheed Orion 9",5,5,0
"264","1931-11-13","Sir Lowry's pass, South Africa","Union Airways","De Havilland DH.80",3,3,0
"265","1931-11-23","Salt Lake City, Utah","Boeing Air Transport","Boeing 40",1,1,0
"266","1931-11-24","Near Tsinan, China","China National Aviation Corporation","Stinson",3,3,0
"267","1931-11-26","Pasco, Washington","Varney Air Lines","Boeing 40",1,1,0
"268","1931-12-05","Kewanee, Illinois","Braniff Airways","Lockheed Vega 5",2,6,0
"269","1931-12-06","Bangkok, Thailand","KLM Royal Dutch Airlines","Fokker F-VIIb-3M",5,7,0
"270","1931-12-09","Off Algiers","Aeropostale","CAMS 56",2,2,0
"271","1931-12-31","Springfield, Ohio","American Airways","Fairchild Pilgrim 100A",4,5,0
"272","1932-01-21","Colvin Park, Ilinois","Northwest Airways","Stinson SM-2A",1,1,0
"273","1932-01-29","Lebec, California","Century Pacific Lines","Stinson SM-6000B",8,8,0
"274","1932-02-01","Off Miami, Florida","Bimini Airways","Fairchild",5,5,0
"275","1932-02-02","Marcellus, Michigan","Transamerican Airlines","Stearman C-3MB",1,1,0
"276","1932-02-02","Rio Vista, California","Boeing Air Transport","Boeing 40",1,2,0
"277","1932-02-27","Off Setiba, Brazil","Aeropostale","Latecoere 28",3,3,0
"278","1932-03-08","Saint Louis, Illinois","Century Air Lines","Stinson SM-6000B",2,5,0
"279","1932-03-19","Calimesa, California","American Airways","Fokker F-10A",7,7,0
"280","1932-03-21","Steubenville, Ohio","Trans Continental and Western Air","Northrop Alpha",1,1,0
"281","1932-03-29","Syria","Air Orient","Farman F-190",3,3,0
"282","1932-03-31","Bedford, Ohio","National Air Transport","Boeing 95",1,1,0
"283","1932-04-21","Fort Wayne, Indiana","Transamerica Airlines","Stearman C-3MB",1,1,0
"284","1932-05-03","Portland, Oregon","Varney Air Lines","Boeing 40",2,2,0
"285","1932-05-16","Burbank, California","Pacific Air Transport","Boeing 40",3,3,0
"286","1932-07-16","Mount El Plomo, near Vitacura, Chile","Panagra","Ford 5-AT-C Tri Motor",9,9,0
"287","1932-08-12","Beyrouth, Lebanon","Air Orient","CAMS 53",1,7,0
"288","1932-08-30","Tubergen, Germany","A B Aerotransport","Junkers G-23",2,2,0
"289","1932-09-08","Salt Flats, Texas","American Airways","Fokker F-10",3,4,0
"290","1932-09-17","Selsdon Park, England","Air Union","Liore-et-Olivier 213",1,2,0
"291","1932-09-18","Byron Bay, Australia","New England Airways","De Havilland DH-80",3,3,0
"292","1932-10-12","Port Etienne, Mauritania","Aeropostale","Latecoere 28",1,1,0
"293","1932-10-26","Villa Monte, Bolivia","Lloyd Aero Boliviano","Ford Tri-motor 5",2,2,0
"294","1932-10-29","Ramsgate, England","Deutsche Lufthansa","Junkers W-33",2,2,0
"295","1932-11-02","Echterpfuhl, Germany","Deutsche Lufthansa","Junkers F-13",5,5,0
"296","1932-11-25","Marianna, Arkansas","Hunter Airways","Travel Air 6000",2,2,0
"297","1932-12-14","Rocky Ridge, Colorado","Boeing Air Transport","Boeing 40",1,1,0
"298","1932-12-14","Amarillo, Texas","Trans Continental and Western Air","Ford 5",2,2,0
"299","1932-12-26","Wau, Australia","Guinea Airways","De Havilland DH-60",2,2,0
"300","1933-01-10","Algiers","Aeropostale","CAMS 53",1,1,0
"301","1933-01-14","Newark, New Jersey","Eastern Air Transport","Curtiss Condor 18",2,2,0
