"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"22","A11",6,"A32","A43",2647,"A63","A73",2,"A93","A101",3,"A121",44,"A143","A151",1,"A173","bad","A191","A201",1
"23","A11",10,"A34","A40",2241,"A61","A72",1,"A93","A101",3,"A121",48,"A143","A151",2,"A172","bad","A191","A202",1
"24","A12",12,"A34","A41",1804,"A62","A72",3,"A93","A101",4,"A122",44,"A143","A152",1,"A173","good","A191","A201",1
"25","A14",10,"A34","A42",2069,"A65","A73",2,"A94","A101",1,"A123",26,"A143","A152",2,"A173","good","A191","A202",1
"26","A11",6,"A32","A42",1374,"A61","A73",1,"A93","A101",2,"A121",36,"A141","A152",1,"A172","good","A192","A201",1
"27","A14",6,"A30","A43",426,"A61","A75",4,"A94","A101",4,"A123",39,"A143","A152",1,"A172","good","A191","A201",1
"28","A13",12,"A31","A43",409,"A64","A73",3,"A92","A101",3,"A121",42,"A143","A151",2,"A173","good","A191","A201",1
"29","A12",7,"A32","A43",2415,"A61","A73",3,"A93","A103",2,"A121",34,"A143","A152",1,"A173","good","A191","A201",1
"30","A11",60,"A33","A49",6836,"A61","A75",3,"A93","A101",4,"A124",63,"A143","A152",2,"A173","good","A192","A201",2
"31","A12",18,"A32","A49",1913,"A64","A72",3,"A94","A101",3,"A121",36,"A141","A152",1,"A173","good","A192","A201",1
"32","A11",24,"A32","A42",4020,"A61","A73",2,"A93","A101",2,"A123",27,"A142","A152",1,"A173","good","A191","A201",1
"33","A12",18,"A32","A40",5866,"A62","A73",2,"A93","A101",2,"A123",30,"A143","A152",2,"A173","good","A192","A201",1
"34","A14",12,"A34","A49",1264,"A65","A75",4,"A93","A101",4,"A124",57,"A143","A151",1,"A172","good","A191","A201",1
"35","A13",12,"A32","A42",1474,"A61","A72",4,"A92","A101",1,"A122",33,"A141","A152",1,"A174","good","A192","A201",1
"36","A12",45,"A34","A43",4746,"A61","A72",4,"A93","A101",2,"A122",25,"A143","A152",2,"A172","good","A191","A201",2
"37","A14",48,"A34","A46",6110,"A61","A73",1,"A93","A101",3,"A124",31,"A141","A153",1,"A173","good","A192","A201",1
"38","A13",18,"A32","A43",2100,"A61","A73",4,"A93","A102",2,"A121",37,"A142","A152",1,"A173","good","A191","A201",2
"39","A13",10,"A32","A44",1225,"A61","A73",2,"A93","A101",2,"A123",37,"A143","A152",1,"A173","good","A192","A201",1
"40","A12",9,"A32","A43",458,"A61","A73",4,"A93","A101",3,"A121",24,"A143","A152",1,"A173","good","A191","A201",1
"41","A14",30,"A32","A43",2333,"A63","A75",4,"A93","A101",2,"A123",30,"A141","A152",1,"A174","good","A191","A201",1
"42","A12",12,"A32","A43",1158,"A63","A73",3,"A91","A101",1,"A123",26,"A143","A152",1,"A173","good","A192","A201",1
"43","A12",18,"A33","A45",6204,"A61","A73",2,"A93","A101",4,"A121",44,"A143","A152",1,"A172","bad","A192","A201",1
"44","A11",30,"A34","A41",6187,"A62","A74",1,"A94","A101",4,"A123",24,"A143","A151",2,"A173","good","A191","A201",1
"45","A11",48,"A34","A41",6143,"A61","A75",4,"A92","A101",4,"A124",58,"A142","A153",2,"A172","good","A191","A201",2
"46","A14",11,"A34","A40",1393,"A61","A72",4,"A92","A101",4,"A123",35,"A143","A152",2,"A174","good","A191","A201",1
"47","A14",36,"A32","A43",2299,"A63","A75",4,"A93","A101",4,"A123",39,"A143","A152",1,"A173","good","A191","A201",1
"48","A11",6,"A32","A41",1352,"A63","A71",1,"A92","A101",2,"A122",23,"A143","A151",1,"A171","good","A192","A201",1
"49","A14",11,"A34","A40",7228,"A61","A73",1,"A93","A101",4,"A122",39,"A143","A152",2,"A172","good","A191","A201",1
"50","A14",12,"A32","A43",2073,"A62","A73",4,"A92","A102",2,"A121",28,"A143","A152",1,"A173","good","A191","A201",1
"51","A12",24,"A33","A42",2333,"A65","A72",4,"A93","A101",2,"A122",29,"A141","A152",1,"A172","good","A191","A201",1
"52","A12",27,"A33","A41",5965,"A61","A75",1,"A93","A101",2,"A123",30,"A143","A152",2,"A174","good","A192","A201",1
"53","A14",12,"A32","A43",1262,"A61","A73",3,"A93","A101",2,"A123",25,"A143","A152",1,"A173","good","A191","A201",1
"54","A14",18,"A32","A41",3378,"A65","A73",2,"A93","A101",1,"A122",31,"A143","A152",1,"A173","good","A192","A201",1
"55","A12",36,"A33","A40",2225,"A61","A75",4,"A93","A101",4,"A124",57,"A141","A153",2,"A173","good","A192","A201",2
"56","A14",6,"A31","A40",783,"A65","A73",1,"A93","A103",2,"A121",26,"A142","A152",1,"A172","bad","A191","A201",1
"57","A12",12,"A32","A43",6468,"A65","A71",2,"A93","A101",1,"A124",52,"A143","A152",1,"A174","good","A192","A201",2
"58","A14",36,"A34","A43",9566,"A61","A73",2,"A92","A101",2,"A123",31,"A142","A152",2,"A173","good","A191","A201",1
"59","A13",18,"A32","A40",1961,"A61","A75",3,"A92","A101",2,"A123",23,"A143","A152",1,"A174","good","A191","A201",1
"60","A11",36,"A34","A42",6229,"A61","A72",4,"A92","A102",4,"A124",23,"A143","A151",2,"A172","good","A192","A201",2
"61","A12",9,"A32","A49",1391,"A61","A73",2,"A94","A101",1,"A121",27,"A141","A152",1,"A173","good","A192","A201",1
"62","A12",15,"A34","A43",1537,"A65","A75",4,"A93","A103",4,"A121",50,"A143","A152",2,"A173","good","A192","A201",1
"63","A12",36,"A30","A49",1953,"A61","A75",4,"A93","A101",4,"A124",61,"A143","A153",1,"A174","good","A192","A201",2
"64","A12",48,"A30","A49",14421,"A61","A73",2,"A93","A101",2,"A123",25,"A143","A152",1,"A173","good","A192","A201",2
"65","A14",24,"A32","A43",3181,"A61","A72",4,"A92","A101",4,"A122",26,"A143","A152",1,"A173","good","A192","A201",1
"66","A14",27,"A32","A45",5190,"A65","A75",4,"A93","A101",4,"A122",48,"A143","A152",4,"A173","bad","A192","A201",1
"67","A14",12,"A32","A43",2171,"A61","A72",2,"A92","A101",2,"A123",29,"A141","A152",1,"A173","good","A191","A201",1
"68","A12",12,"A32","A40",1007,"A64","A73",4,"A94","A101",1,"A121",22,"A143","A152",1,"A173","good","A191","A201",1
"69","A14",36,"A32","A46",1819,"A61","A73",4,"A93","A101",4,"A124",37,"A142","A153",1,"A173","good","A192","A201",2
"70","A14",36,"A32","A43",2394,"A65","A73",4,"A92","A101",4,"A123",25,"A143","A152",1,"A173","good","A191","A201",1
"71","A14",36,"A32","A41",8133,"A61","A73",1,"A92","A101",2,"A122",30,"A141","A152",1,"A173","good","A191","A201",1
"72","A14",7,"A34","A43",730,"A65","A75",4,"A93","A101",2,"A122",46,"A143","A151",2,"A172","good","A192","A201",1
"73","A11",8,"A34","A410",1164,"A61","A75",3,"A93","A101",4,"A124",51,"A141","A153",2,"A174","bad","A192","A201",1
"74","A12",42,"A34","A49",5954,"A61","A74",2,"A92","A101",1,"A121",41,"A141","A152",2,"A172","good","A191","A201",1
"75","A11",36,"A32","A46",1977,"A65","A75",4,"A93","A101",4,"A124",40,"A143","A152",1,"A174","good","A192","A201",2
"76","A11",12,"A34","A41",1526,"A61","A75",4,"A93","A101",4,"A124",66,"A143","A153",2,"A174","good","A191","A201",1
"77","A11",42,"A32","A43",3965,"A61","A72",4,"A93","A101",3,"A123",34,"A143","A152",1,"A173","good","A191","A201",2
"78","A12",11,"A33","A43",4771,"A61","A74",2,"A93","A101",4,"A122",51,"A143","A152",1,"A173","good","A191","A201",1
"79","A14",54,"A30","A41",9436,"A65","A73",2,"A93","A101",2,"A122",39,"A143","A152",1,"A172","bad","A191","A201",1
"80","A12",30,"A32","A42",3832,"A61","A72",2,"A94","A101",1,"A122",22,"A143","A152",1,"A173","good","A191","A201",1
"81","A14",24,"A32","A43",5943,"A65","A72",1,"A92","A101",1,"A123",44,"A143","A152",2,"A173","good","A192","A201",2
"82","A14",15,"A32","A43",1213,"A63","A75",4,"A93","A101",3,"A122",47,"A142","A152",1,"A173","good","A192","A201",1
"83","A14",18,"A32","A49",1568,"A62","A73",3,"A92","A101",4,"A122",24,"A143","A151",1,"A172","good","A191","A201",1
"84","A11",24,"A32","A410",1755,"A61","A75",4,"A92","A103",4,"A121",58,"A143","A152",1,"A172","good","A192","A201",1
"85","A11",10,"A32","A43",2315,"A61","A75",3,"A93","A101",4,"A121",52,"A143","A152",1,"A172","good","A191","A201",1
"86","A14",12,"A34","A49",1412,"A61","A73",4,"A92","A103",2,"A121",29,"A143","A152",2,"A174","good","A192","A201",1
"87","A12",18,"A34","A42",1295,"A61","A72",4,"A92","A101",1,"A122",27,"A143","A152",2,"A173","good","A191","A201",1
"88","A12",36,"A32","A46",12612,"A62","A73",1,"A93","A101",4,"A124",47,"A143","A153",1,"A173","bad","A192","A201",2
"89","A11",18,"A32","A40",2249,"A62","A74",4,"A93","A101",3,"A123",30,"A143","A152",1,"A174","bad","A192","A201",1
"90","A11",12,"A30","A45",1108,"A61","A74",4,"A93","A101",3,"A121",28,"A143","A152",2,"A173","good","A191","A201",2
"91","A14",12,"A34","A43",618,"A61","A75",4,"A93","A101",4,"A121",56,"A143","A152",1,"A173","good","A191","A201",1
"92","A11",12,"A34","A41",1409,"A61","A75",4,"A93","A101",3,"A121",54,"A143","A152",1,"A173","good","A191","A201",1
"93","A14",12,"A34","A43",797,"A65","A75",4,"A92","A101",3,"A122",33,"A141","A152",1,"A172","bad","A191","A201",2
"94","A13",24,"A34","A42",3617,"A65","A75",4,"A93","A102",4,"A124",20,"A143","A151",2,"A173","good","A191","A201",1
"95","A12",12,"A32","A40",1318,"A64","A75",4,"A93","A101",4,"A121",54,"A143","A152",1,"A173","good","A192","A201",1
"96","A12",54,"A30","A49",15945,"A61","A72",3,"A93","A101",4,"A124",58,"A143","A151",1,"A173","good","A192","A201",2
"97","A14",12,"A34","A46",2012,"A65","A74",4,"A92","A101",2,"A123",61,"A143","A152",1,"A173","good","A191","A201",1
"98","A12",18,"A32","A49",2622,"A62","A73",4,"A93","A101",4,"A123",34,"A143","A152",1,"A173","good","A191","A201",1
"99","A12",36,"A34","A43",2337,"A61","A75",4,"A93","A101",4,"A121",36,"A143","A152",1,"A173","good","A191","A201",1
"100","A12",20,"A33","A41",7057,"A65","A74",3,"A93","A101",4,"A122",36,"A141","A151",2,"A174","bad","A192","A201",1
"101","A14",24,"A32","A40",1469,"A62","A75",4,"A94","A101",4,"A121",41,"A143","A151",1,"A172","good","A191","A201",1
"102","A12",36,"A32","A43",2323,"A61","A74",4,"A93","A101",4,"A123",24,"A143","A151",1,"A173","good","A191","A201",1
"103","A14",6,"A33","A43",932,"A61","A73",3,"A92","A101",2,"A121",24,"A143","A152",1,"A173","good","A191","A201",1
"104","A12",9,"A34","A42",1919,"A61","A74",4,"A93","A101",3,"A123",35,"A143","A151",1,"A173","good","A192","A201",1
"105","A14",12,"A32","A41",2445,"A65","A72",2,"A94","A101",4,"A123",26,"A143","A151",1,"A173","good","A192","A201",1
"106","A12",24,"A34","A410",11938,"A61","A73",2,"A93","A102",3,"A123",39,"A143","A152",2,"A174","bad","A192","A201",2
"107","A14",18,"A31","A40",6458,"A61","A75",2,"A93","A101",4,"A124",39,"A141","A152",2,"A174","bad","A192","A201",2
"108","A12",12,"A32","A40",6078,"A61","A74",2,"A93","A101",2,"A123",32,"A143","A152",1,"A173","good","A191","A201",1
"109","A11",24,"A32","A42",7721,"A65","A72",1,"A92","A101",2,"A122",30,"A143","A152",1,"A173","good","A192","A202",1
"110","A12",14,"A32","A49",1410,"A63","A75",1,"A94","A101",2,"A121",35,"A143","A152",1,"A173","good","A192","A201",1
"111","A12",6,"A33","A49",1449,"A62","A75",1,"A91","A101",2,"A123",31,"A141","A152",2,"A173","bad","A191","A201",1
"112","A13",15,"A32","A46",392,"A61","A72",4,"A92","A101",4,"A122",23,"A143","A151",1,"A173","good","A192","A201",1
"113","A12",18,"A32","A40",6260,"A61","A74",3,"A93","A101",3,"A121",28,"A143","A151",1,"A172","good","A191","A201",1
"114","A14",36,"A34","A40",7855,"A61","A73",4,"A92","A101",2,"A121",25,"A142","A152",2,"A173","good","A192","A201",2
"115","A11",12,"A32","A43",1680,"A63","A75",3,"A94","A101",1,"A121",35,"A143","A152",1,"A173","good","A191","A201",1
"116","A14",48,"A34","A43",3578,"A65","A75",4,"A93","A101",1,"A121",47,"A143","A152",1,"A173","good","A192","A201",1
"117","A11",42,"A32","A43",7174,"A65","A74",4,"A92","A101",3,"A123",30,"A143","A152",1,"A174","good","A192","A201",2
"118","A11",10,"A34","A42",2132,"A65","A72",2,"A92","A102",3,"A121",27,"A143","A151",2,"A173","good","A191","A202",1
"119","A11",33,"A34","A42",4281,"A63","A73",1,"A92","A101",4,"A123",23,"A143","A152",2,"A173","good","A191","A201",2
"120","A12",12,"A34","A40",2366,"A63","A74",3,"A91","A101",3,"A123",36,"A143","A152",1,"A174","good","A192","A201",1
"121","A11",21,"A32","A43",1835,"A61","A73",3,"A92","A101",2,"A121",25,"A143","A152",2,"A173","good","A192","A201",2
"122","A14",24,"A34","A41",3868,"A61","A75",4,"A92","A101",2,"A123",41,"A143","A151",2,"A174","good","A192","A201",1
"123","A14",12,"A32","A42",1768,"A61","A73",3,"A93","A101",2,"A121",24,"A143","A151",1,"A172","good","A191","A201",1
"124","A13",10,"A34","A40",781,"A61","A75",4,"A93","A101",4,"A124",63,"A143","A153",2,"A173","good","A192","A201",1
"125","A12",18,"A32","A42",1924,"A65","A72",4,"A92","A101",3,"A121",27,"A143","A151",1,"A173","good","A191","A201",2
"126","A11",12,"A34","A40",2121,"A61","A73",4,"A93","A101",2,"A122",30,"A143","A152",2,"A173","good","A191","A201",1
"127","A11",12,"A32","A43",701,"A61","A73",4,"A94","A101",2,"A121",40,"A143","A152",1,"A172","good","A191","A201",1
"128","A12",12,"A32","A45",639,"A61","A73",4,"A93","A101",2,"A123",30,"A143","A152",1,"A173","good","A191","A201",2
"129","A12",12,"A34","A41",1860,"A61","A71",4,"A93","A101",2,"A123",34,"A143","A152",2,"A174","good","A192","A201",1
"130","A11",12,"A34","A40",3499,"A61","A73",3,"A92","A102",2,"A121",29,"A143","A152",2,"A173","good","A191","A201",2
"131","A12",48,"A32","A40",8487,"A65","A74",1,"A92","A101",2,"A123",24,"A143","A152",1,"A173","good","A191","A201",1
"132","A11",36,"A33","A46",6887,"A61","A73",4,"A93","A101",3,"A122",29,"A142","A152",1,"A173","good","A192","A201",2
"133","A14",15,"A32","A42",2708,"A61","A72",2,"A93","A101",3,"A122",27,"A141","A152",2,"A172","good","A191","A201",1
"134","A14",18,"A32","A42",1984,"A61","A73",4,"A93","A101",4,"A124",47,"A141","A153",2,"A173","good","A191","A201",1
"135","A14",60,"A32","A43",10144,"A62","A74",2,"A92","A101",4,"A121",21,"A143","A152",1,"A173","good","A192","A201",1
"136","A14",12,"A34","A43",1240,"A65","A75",4,"A92","A101",2,"A121",38,"A143","A152",2,"A173","good","A192","A201",1
"137","A14",27,"A33","A41",8613,"A64","A73",2,"A93","A101",2,"A123",27,"A143","A152",2,"A173","good","A191","A201",1
"138","A12",12,"A32","A43",766,"A63","A73",4,"A93","A101",3,"A121",66,"A143","A152",1,"A172","good","A191","A201",2
"139","A12",15,"A34","A43",2728,"A65","A74",4,"A93","A103",2,"A121",35,"A141","A152",3,"A173","good","A192","A201",1
"140","A13",12,"A32","A43",1881,"A61","A73",2,"A92","A101",2,"A123",44,"A143","A151",1,"A172","good","A192","A201",1
"141","A13",6,"A32","A40",709,"A64","A72",2,"A94","A101",2,"A121",27,"A143","A152",1,"A171","good","A191","A202",1
"142","A12",36,"A32","A43",4795,"A61","A72",4,"A92","A101",1,"A124",30,"A143","A152",1,"A174","good","A192","A201",1
"143","A11",27,"A32","A43",3416,"A61","A73",3,"A93","A101",2,"A123",27,"A143","A152",1,"A174","good","A191","A201",1
"144","A11",18,"A32","A42",2462,"A61","A73",2,"A93","A101",2,"A123",22,"A143","A152",1,"A173","good","A191","A201",2
"145","A14",21,"A34","A42",2288,"A61","A72",4,"A92","A101",4,"A122",23,"A143","A152",1,"A173","good","A192","A201",1
"146","A12",48,"A31","A49",3566,"A62","A74",4,"A93","A101",2,"A123",30,"A143","A152",1,"A173","good","A191","A201",1
"147","A11",6,"A34","A40",860,"A61","A75",1,"A92","A101",4,"A124",39,"A143","A152",2,"A173","good","A192","A201",1
"148","A14",12,"A34","A40",682,"A62","A74",4,"A92","A101",3,"A123",51,"A143","A152",2,"A173","good","A192","A201",1
"149","A11",36,"A34","A42",5371,"A61","A73",3,"A93","A103",2,"A122",28,"A143","A152",2,"A173","good","A191","A201",1
"150","A14",18,"A34","A43",1582,"A64","A75",4,"A93","A101",4,"A123",46,"A143","A152",2,"A173","good","A191","A201",1
"151","A14",6,"A32","A43",1346,"A62","A75",2,"A93","A101",4,"A124",42,"A141","A153",1,"A173","bad","A192","A201",1
"152","A14",10,"A32","A43",1924,"A61","A73",1,"A93","A101",4,"A122",38,"A143","A152",1,"A173","good","A192","A202",1
"153","A13",36,"A32","A43",5848,"A61","A73",4,"A93","A101",1,"A123",24,"A143","A152",1,"A173","good","A191","A201",1
"154","A12",24,"A34","A41",7758,"A64","A75",2,"A92","A101",4,"A124",29,"A143","A151",1,"A173","good","A191","A201",1
"155","A12",24,"A33","A49",6967,"A62","A74",4,"A93","A101",4,"A123",36,"A143","A151",1,"A174","good","A192","A201",1
"156","A11",12,"A32","A42",1282,"A61","A73",2,"A92","A101",4,"A123",20,"A143","A151",1,"A173","good","A191","A201",2
"157","A11",9,"A34","A45",1288,"A62","A75",3,"A93","A103",4,"A121",48,"A143","A152",2,"A173","bad","A191","A202",1
"158","A11",12,"A31","A48",339,"A61","A75",4,"A94","A101",1,"A123",45,"A141","A152",1,"A172","good","A191","A201",1
"159","A12",24,"A32","A40",3512,"A62","A74",2,"A93","A101",3,"A123",38,"A141","A152",2,"A173","good","A192","A201",1
"160","A14",6,"A34","A43",1898,"A65","A73",1,"A93","A101",2,"A121",34,"A143","A152",2,"A172","bad","A191","A201",1
"161","A14",24,"A34","A43",2872,"A62","A75",3,"A93","A101",4,"A121",36,"A143","A152",1,"A173","bad","A192","A201",1
"162","A14",18,"A34","A40",1055,"A61","A72",4,"A92","A101",1,"A122",30,"A143","A152",2,"A173","good","A191","A201",1
"163","A14",15,"A32","A44",1262,"A63","A74",4,"A93","A101",3,"A122",36,"A143","A152",2,"A173","good","A192","A201",1
"164","A12",10,"A32","A40",7308,"A61","A71",2,"A93","A101",4,"A124",70,"A141","A153",1,"A174","good","A192","A201",1
"165","A14",36,"A32","A40",909,"A63","A75",4,"A93","A101",4,"A122",36,"A143","A152",1,"A173","good","A191","A201",1
"166","A14",6,"A32","A42",2978,"A63","A73",1,"A93","A101",2,"A123",32,"A143","A152",1,"A173","good","A192","A201",1
"167","A11",18,"A32","A42",1131,"A61","A71",4,"A92","A101",2,"A123",33,"A143","A152",1,"A173","good","A191","A201",2
"168","A12",11,"A32","A42",1577,"A64","A72",4,"A92","A101",1,"A121",20,"A143","A152",1,"A173","good","A191","A201",1
"169","A14",24,"A32","A42",3972,"A61","A74",2,"A92","A101",4,"A122",25,"A143","A151",1,"A173","good","A192","A201",1
"170","A12",24,"A34","A49",1935,"A61","A75",4,"A91","A101",4,"A121",31,"A143","A152",2,"A173","good","A192","A201",2
"171","A11",15,"A30","A40",950,"A61","A75",4,"A93","A101",3,"A123",33,"A143","A151",2,"A173","bad","A191","A201",2
"172","A14",12,"A32","A42",763,"A61","A73",4,"A92","A101",1,"A121",26,"A143","A152",1,"A173","good","A192","A201",1
"173","A12",24,"A33","A42",2064,"A61","A71",3,"A92","A101",2,"A122",34,"A143","A152",1,"A174","good","A192","A201",2
"174","A12",8,"A32","A43",1414,"A61","A73",4,"A93","A103",2,"A121",33,"A143","A152",1,"A173","good","A191","A202",1
"175","A11",21,"A33","A46",3414,"A61","A72",2,"A93","A101",1,"A122",26,"A143","A152",2,"A173","good","A191","A201",2
"176","A14",30,"A31","A41",7485,"A65","A71",4,"A92","A101",1,"A121",53,"A141","A152",1,"A174","good","A192","A201",2
"177","A11",12,"A32","A42",2577,"A61","A73",2,"A91","A101",1,"A123",42,"A143","A152",1,"A173","good","A191","A201",1
"178","A11",6,"A34","A43",338,"A63","A75",4,"A93","A101",4,"A123",52,"A143","A152",2,"A173","good","A191","A201",1
"179","A14",12,"A32","A43",1963,"A61","A74",4,"A93","A101",2,"A123",31,"A143","A151",2,"A174","bad","A192","A201",1
"180","A11",21,"A34","A40",571,"A61","A75",4,"A93","A101",4,"A121",65,"A143","A152",2,"A173","good","A191","A201",1
"181","A14",36,"A33","A49",9572,"A61","A72",1,"A91","A101",1,"A123",28,"A143","A152",2,"A173","good","A191","A201",2
"182","A12",36,"A33","A49",4455,"A61","A73",2,"A91","A101",2,"A121",30,"A142","A152",2,"A174","good","A192","A201",2
"183","A11",21,"A31","A40",1647,"A65","A73",4,"A93","A101",2,"A122",40,"A143","A152",2,"A172","bad","A191","A201",2
"184","A14",24,"A34","A42",3777,"A64","A73",4,"A93","A101",4,"A121",50,"A143","A152",1,"A173","good","A192","A201",1
"185","A12",18,"A34","A40",884,"A61","A75",4,"A93","A101",4,"A123",36,"A141","A152",1,"A173","bad","A192","A201",2
"186","A14",15,"A34","A43",1360,"A61","A73",4,"A93","A101",2,"A122",31,"A143","A152",2,"A173","good","A191","A201",1
"187","A12",9,"A31","A41",5129,"A61","A75",2,"A92","A101",4,"A124",74,"A141","A153",1,"A174","bad","A192","A201",2
"188","A12",16,"A34","A40",1175,"A61","A71",2,"A93","A101",3,"A123",68,"A143","A153",3,"A171","good","A192","A201",1
"189","A11",12,"A32","A43",674,"A62","A74",4,"A94","A101",1,"A122",20,"A143","A152",1,"A173","good","A191","A201",2
"190","A12",18,"A30","A42",3244,"A61","A73",1,"A92","A101",4,"A123",33,"A141","A152",2,"A173","good","A192","A201",1
"191","A14",24,"A32","A49",4591,"A64","A73",2,"A93","A101",3,"A122",54,"A143","A152",3,"A174","good","A192","A201",2
"192","A12",48,"A30","A49",3844,"A62","A74",4,"A93","A101",4,"A124",34,"A143","A153",1,"A172","bad","A191","A201",2
"193","A12",27,"A32","A49",3915,"A61","A73",4,"A93","A101",2,"A123",36,"A143","A152",1,"A173","bad","A192","A201",2
"194","A14",6,"A32","A43",2108,"A61","A74",2,"A94","A101",2,"A121",29,"A143","A151",1,"A173","good","A191","A201",1
"195","A12",45,"A32","A43",3031,"A62","A73",4,"A93","A103",4,"A122",21,"A143","A151",1,"A173","good","A191","A201",2
"196","A12",9,"A34","A46",1501,"A61","A75",2,"A92","A101",3,"A123",34,"A143","A152",2,"A174","good","A192","A201",2
"197","A14",6,"A34","A43",1382,"A61","A73",1,"A92","A101",1,"A123",28,"A143","A152",2,"A173","good","A192","A201",1
"198","A12",12,"A32","A42",951,"A62","A72",4,"A92","A101",4,"A123",27,"A141","A151",4,"A173","good","A191","A201",2
"199","A12",24,"A32","A41",2760,"A65","A75",4,"A93","A101",4,"A124",36,"A141","A153",1,"A173","good","A192","A201",1
"200","A12",18,"A33","A42",4297,"A61","A75",4,"A91","A101",3,"A124",40,"A143","A152",1,"A174","good","A192","A201",2
"201","A14",9,"A34","A46",936,"A63","A75",4,"A93","A101",2,"A123",52,"A143","A152",2,"A173","good","A192","A201",1
"202","A11",12,"A32","A40",1168,"A61","A73",4,"A94","A101",3,"A121",27,"A143","A152",1,"A172","good","A191","A201",1
"203","A14",27,"A33","A49",5117,"A61","A74",3,"A93","A101",4,"A123",26,"A143","A152",2,"A173","good","A191","A201",1
"204","A11",12,"A32","A48",902,"A61","A74",4,"A94","A101",4,"A122",21,"A143","A151",1,"A173","good","A191","A201",2
"205","A14",12,"A34","A40",1495,"A61","A75",4,"A93","A101",1,"A121",38,"A143","A152",2,"A172","bad","A191","A201",1
"206","A11",30,"A34","A41",10623,"A61","A75",3,"A93","A101",4,"A124",38,"A143","A153",3,"A174","bad","A192","A201",1
"207","A14",12,"A34","A42",1935,"A61","A75",4,"A93","A101",4,"A121",43,"A143","A152",3,"A173","good","A192","A201",1
"208","A12",12,"A34","A44",1424,"A61","A74",4,"A93","A101",3,"A122",26,"A143","A152",1,"A173","good","A191","A201",1
"209","A11",24,"A32","A49",6568,"A61","A73",2,"A94","A101",2,"A123",21,"A142","A152",1,"A172","good","A191","A201",1
"210","A14",12,"A32","A41",1413,"A64","A74",3,"A93","A101",2,"A122",55,"A143","A152",1,"A173","good","A191","A202",1
"211","A14",9,"A34","A43",3074,"A65","A73",1,"A93","A101",2,"A121",33,"A143","A152",2,"A173","bad","A191","A201",1
"212","A14",36,"A32","A43",3835,"A65","A75",2,"A92","A101",4,"A121",45,"A143","A152",1,"A172","good","A192","A201",1
"213","A11",27,"A30","A49",5293,"A61","A71",2,"A93","A101",4,"A122",50,"A142","A152",2,"A173","good","A192","A201",2
