"","V1","V2"
"653",0.115,0.484
"654",2.737,0.932
"655",0.372,0.608
"656",2.498,0.944
"657",-0.535,0.312
"658",-0.35,0.34
"659",-1.899,0.036
"660",1.397,0.792
"661",-0.023,0.488
"662",0.546,0.664
"663",0.398,0.596
"664",-0.793,0.212
"665",-0.708,0.216
"666",-0.011,0.476
"667",-0.493,0.256
"668",-2.167,0.052
"669",-0.876,0.164
"670",0.637,0.728
"671",-0.946,0.148
"672",-0.836,0.156
"673",2.177,0.888
"674",1.402,0.82
"675",-0.666,0.236
"676",0.11,0.388
"677",3.174,0.952
"678",-0.888,0.164
"679",0.418,0.596
"680",1.639,0.872
"681",0.866,0.772
"682",-0.705,0.176
"683",1.089,0.76
"684",-0.145,0.424
"685",-0.421,0.392
"686",1.982,0.92
"687",0.108,0.532
"688",1.156,0.812
"689",1.58,0.78
"690",-0.537,0.312
"691",1.897,0.916
"692",-0.763,0.212
"693",-0.625,0.244
"694",2.069,0.952
"695",-0.151,0.42
"696",0.688,0.72
"697",-0.599,0.26
"698",0.853,0.744
"699",-0.767,0.192
"700",0.541,0.62
"701",-0.647,0.228
"702",2.548,0.968
"703",-1.238,0.112
"704",-0.327,0.38
"705",0.03,0.544
"706",1.425,0.852
"707",-0.703,0.212
"708",1.248,0.836
"709",1.115,0.816
"710",1.333,0.792
"711",-0.38,0.304
"712",-0.87,0.188
"713",1.067,0.756
"714",-0.985,0.088
"715",-0.339,0.296
"716",-1.463,0.052
"717",0.341,0.56
"718",-0.204,0.388
"719",0.577,0.596
"720",-0.792,0.208
"721",0.084,0.492
"722",-1.002,0.172
"723",-1.224,0.064
"724",0.792,0.716
"725",0.704,0.656
"726",1.208,0.828
"727",-0.087,0.44
"728",-1.072,0.18
"729",-0.998,0.144
"730",2.54,0.96
"731",-0.36,0.272
"732",1.549,0.9
"733",-1.793,0.016
"734",-0.449,0.316
"735",0.006,0.492
"736",-0.005,0.48
"737",-1.018,0.088
"738",2.047,0.916
"739",0.095,0.492
"740",0.943,0.752
"741",0.291,0.596
"742",-1.024,0.128
"743",0.944,0.812
"744",0.033,0.54
"745",1.268,0.792
"746",0.449,0.644
"747",3.289,0.988
"748",2.087,0.884
"749",0.504,0.64
"750",1.161,0.832
"751",1.523,0.84
"752",-1.057,0.12
"753",-0.078,0.532
"754",-0.87,0.176
"755",0.047,0.52
"756",1.706,0.888
"757",0.568,0.604
"758",0.811,0.776
"759",-1.592,0.12
"760",0.475,0.664
"761",-0.939,0.112
"762",-0.053,0.416
"763",5.27,0.988
"764",2.233,0.924
"765",-0.819,0.168
"766",-1.034,0.112
"767",-0.247,0.368
"768",0.981,0.764
"769",0.165,0.564
"770",-0.813,0.208
"771",0.19,0.568
"772",-0.454,0.288
"773",0.607,0.668
"774",-0.665,0.26
"775",-0.138,0.412
"776",0.347,0.624
"777",3.328,0.94
"778",1.128,0.784
"779",2.335,0.968
"780",1.273,0.844
"781",-0.154,0.396
"782",-0.054,0.432
"783",-0.517,0.236
"784",0.174,0.564
"785",0.088,0.536
"786",-0.59,0.224
"787",0.459,0.644
"788",0.732,0.704
"789",3.15,0.956
"790",-0.489,0.292
"791",0.012,0.488
"792",0.575,0.644
"793",-0.111,0.448
"794",3.006,0.924
"795",-0.496,0.236
"796",0.673,0.672
"797",0.842,0.756
"798",0.44,0.668
"799",-0.301,0.416
"800",0.401,0.584
"801",3.002,0.972
"802",-0.458,0.312
"803",1.929,0.904
"804",1.385,0.836
"805",-1.517,0.076
"806",-1.178,0.12
"807",-1.057,0.092
"808",0.349,0.612
"809",-0.5,0.264
"810",-1.323,0.084
"811",-0.543,0.272
"812",1.251,0.848
"813",-0.427,0.336
"814",1.248,0.812
"815",2.041,0.912
"816",-1.427,0.04
"817",-2.134,0.012
"818",-0.188,0.38
"819",-0.97,0.136
"820",-1.005,0.136
"821",-0.121,0.412
"822",0.314,0.596
"823",-1.833,0.044
"824",0.141,0.54
"825",2.007,0.944
"826",1.716,0.856
"827",2.131,0.908
"828",-0.313,0.36
"829",-0.232,0.42
"830",0.008,0.472
"831",-0.782,0.156
"832",-0.456,0.3
"833",-0.423,0.308
"834",-0.371,0.304
"835",-0.156,0.468
"836",1.309,0.844
"837",1.077,0.8
"838",-0.766,0.168
"839",-0.628,0.268
"840",-0.713,0.204
"841",-0.521,0.252
"842",1.767,0.88
"843",0.569,0.604
"844",-0.024,0.504
"845",4.942,0.916
"846",-0.051,0.432
"847",-0.326,0.336
"848",0.816,0.704
"849",-0.295,0.356
"850",0.207,0.592
"851",0.961,0.772
"852",3.595,0.98
"853",0.942,0.756
"854",0.072,0.496
"855",1.819,0.872
"856",0.758,0.688
"857",8.778,0.984
"858",-0.598,0.292
"859",1.979,0.924
"860",-0.381,0.236
"861",-0.367,0.284
"862",-0.537,0.3
"863",0.937,0.768
"864",1.641,0.808
"865",-0.4,0.332
"866",0.175,0.54
"867",0.514,0.704
"868",0.284,0.54
"869",2.383,0.856
"870",1.45,0.812
"871",0.557,0.66
"872",0.128,0.508
"873",-0.692,0.18
"874",0.853,0.8
"875",-0.936,0.128
"876",2.212,0.924
"877",-0.033,0.456
"878",0.831,0.7
"879",-0.024,0.46
"880",0.957,0.776
"881",-0.323,0.328
"882",1.112,0.784
"883",-0.06,0.412
"884",-0.108,0.412
"885",-1.699,0.04
"886",1.583,0.832
"887",0.335,0.572
"888",-1.355,0.084
"889",-1.408,0.116
"890",-0.629,0.24
"891",0.121,0.492
"892",0.449,0.656
"893",-1.767,0.1
"894",-0.502,0.236
"895",0.015,0.452
"896",0.013,0.484
"897",0.807,0.732
"898",-1.236,0.088
"899",0.545,0.688
"900",1.738,0.916
"901",-1.314,0.068
"902",1.06,0.876
"903",0.348,0.66
"904",1.032,0.816
"905",-1.209,0.084
"906",-0.504,0.292
"907",-1.395,0.052
"908",1.774,0.864
"909",-0.165,0.452
"910",-0.271,0.396
"911",1.471,0.844
"912",-0.256,0.384
"913",-0.758,0.228
"914",-1.859,0.036
"915",0.001,0.528
"916",-0.098,0.412
"917",-2.176,0.012
"918",-1.416,0.084
"919",-0.705,0.184
"920",-0.696,0.2
"921",0.211,0.596
"922",1.841,0.908
"923",-0.722,0.24
"924",0.842,0.756
"925",0.656,0.652
"926",0.295,0.64
"927",-2.105,0.02
"928",-0.479,0.204
"929",2.837,0.948
"930",1.985,0.888
"931",-0.2,0.4
"932",1.56,0.86
"933",1.135,0.836
"934",-0.601,0.216
"935",-0.639,0.22
"936",2.231,0.92
"937",-2.118,0.116
"938",0.693,0.74
"939",-1.787,0.008
"940",1.723,0.872
"941",2.11,0.896
"942",0.045,0.444
"943",0.48,0.576
"944",0.325,0.616
"945",-0.36,0.408
"946",-0.487,0.328
"947",0.985,0.712
"948",-0.175,0.396
"949",0.1,0.5
"950",1.248,0.788
"951",0.435,0.62
"952",-0.718,0.22
"953",-1.187,0.108
"954",-0.192,0.396
"955",-0.838,0.156
"956",0.023,0.512
"957",-0.469,0.256
"958",-0.096,0.44
"959",-0.805,0.2
"960",0.294,0.584
"961",2.222,0.956
"962",0.542,0.696
"963",-0.686,0.312
"964",-0.696,0.172
"965",0.669,0.652
"966",0.258,0.58
"967",-1.389,0.048
"968",-0.927,0.14
"969",0.535,0.66
"970",-0.717,0.128
"971",-0.741,0.208
"972",-0.749,0.216
"973",-0.586,0.236
"974",2.391,0.928
"975",-0.843,0.188
"976",-0.338,0.38
"977",-1.137,0.104
"978",-1.279,0.068
"979",-0.272,0.344
"980",0.731,0.748
"981",1.47,0.84
"982",0.73,0.76
"983",0.55,0.708
"984",-1.34,0.068
"985",-1.243,0.068
"986",0.198,0.52
"987",0.728,0.744
"988",-0.098,0.36
"989",-1.113,0.116
"990",-0.86,0.164
"991",-0.662,0.16
"992",-0.221,0.428
"993",1.247,0.792
"994",0.565,0.72
"995",-1.304,0.104
"996",2.031,0.896
"997",1.163,0.792
"998",1.361,0.824
"999",-0.579,0.256
