"","date","variable","value","value01"
"112",1976-10-01,"pce",1179.5,0.0576706910014501
"113",1976-11-01,"pce",1191.7,0.0587175328854223
"114",1976-12-01,"pce",1214.1,0.0606396032297646
"115",1977-01-01,"pce",1217.4,0.0609227653787079
"116",1977-02-01,"pce",1233.7,0.0623214147810642
"117",1977-03-01,"pce",1240.7,0.0629220617636712
"118",1977-04-01,"pce",1249.7,0.0636943221698801
"119",1977-05-01,"pce",1259.6,0.06454380861671
"120",1977-06-01,"pce",1266.3,0.0651187135857767
"121",1977-07-01,"pce",1283.2,0.0665688470152135
"122",1977-08-01,"pce",1288.5,0.0670236225877588
"123",1977-09-01,"pce",1297.4,0.0677873023227877
"124",1977-10-01,"pce",1314.3,0.0692374357522245
"125",1977-11-01,"pce",1330,0.0705846011275002
"126",1977-12-01,"pce",1339.3,0.0713826035472495
"127",1978-01-01,"pce",1333,0.0708420212629032
"128",1978-02-01,"pce",1358.9,0.073064415098549
"129",1978-03-01,"pce",1381.4,0.0749950661140714
"130",1978-04-01,"pce",1400.2,0.0766082322959302
"131",1978-05-01,"pce",1415.9,0.0779553976712059
"132",1978-06-01,"pce",1429.8,0.0791481109652397
"133",1978-07-01,"pce",1430.8,0.0792339176770407
"134",1978-08-01,"pce",1451,0.0809672132554208
"135",1978-09-01,"pce",1456.9,0.0814734728550467
"136",1978-10-01,"pce",1471,0.0826833474914408
"137",1978-11-01,"pce",1484.7,0.0838588994431144
"138",1978-12-01,"pce",1500.5,0.0852146454895702
"139",1979-01-01,"pce",1506.3,0.085712324418016
"140",1979-02-01,"pce",1521.6,0.0870251671085712
"141",1979-03-01,"pce",1535,0.0881749770467046
"142",1979-04-01,"pce",1542.3,0.0888013660428519
"143",1979-05-01,"pce",1562.7,0.0905518229635922
"144",1979-06-01,"pce",1579.6,0.092001956393029
"145",1979-07-01,"pce",1590.1,0.0929029268669395
"146",1979-08-01,"pce",1619.7,0.0954428055362491
"147",1979-09-01,"pce",1638.1,0.0970216490333874
"148",1979-10-01,"pce",1646,0.0976995220566153
"149",1979-11-01,"pce",1661.7,0.0990466874318909
"150",1979-12-01,"pce",1670.7,0.0998189478380999
"151",1980-01-01,"pce",1701.6,0.102470375232751
"152",1980-02-01,"pce",1705.6,0.102813602079955
"153",1980-03-01,"pce",1712.4,0.103397087720201
"154",1980-04-01,"pce",1699.5,0.102290181137969
"155",1980-05-01,"pce",1704.3,0.102702053354613
"156",1980-06-01,"pce",1723,0.104306638865292
"157",1980-07-01,"pce",1751.2,0.10672638813808
"158",1980-08-01,"pce",1767.7,0.108142198882797
"159",1980-09-01,"pce",1784.1,0.109549428956333
"160",1980-10-01,"pce",1820.4,0.112664212594709
"161",1980-11-01,"pce",1830.2,0.113505118370359
"162",1980-12-01,"pce",1855.5,0.115676028178924
"163",1981-01-01,"pce",1874.7,0.117323517045503
"164",1981-02-01,"pce",1889.4,0.118584875708978
"165",1981-03-01,"pce",1908.1,0.120189461219657
"166",1981-04-01,"pce",1909.1,0.120275267931458
"167",1981-05-01,"pce",1918.2,0.121056109008847
"168",1981-06-01,"pce",1938.5,0.122797985258407
"169",1981-07-01,"pce",1945.7,0.123415793583374
"170",1981-08-01,"pce",1969.8,0.125483735337778
"171",1981-09-01,"pce",1968.2,0.125346444598897
"172",1981-10-01,"pce",1966.2,0.125174831175295
"173",1981-11-01,"pce",1972.4,0.125706832788461
"174",1981-12-01,"pce",1989.9,0.127208450244978
"175",1982-01-01,"pce",1997.4,0.127852000583486
"176",1982-02-01,"pce",2021.4,0.12991136166671
"177",1982-03-01,"pce",2024.4,0.130168781802113
"178",1982-04-01,"pce",2027.2,0.130409040595155
"179",1982-05-01,"pce",2045.9,0.132013626105834
"180",1982-06-01,"pce",2050.2,0.132382594966578
"181",1982-07-01,"pce",2075.1,0.134519182090423
"182",1982-08-01,"pce",2083.7,0.135257119811912
"183",1982-09-01,"pce",2108.9,0.137419448949297
"184",1982-10-01,"pce",2130.7,0.139290035266559
"185",1982-11-01,"pce",2154.7,0.141349396349782
"186",1982-12-01,"pce",2167.4,0.142439141589655
"187",1983-01-01,"pce",2180.1,0.143528886829528
"188",1983-02-01,"pce",2183.1,0.143786306964931
"189",1983-03-01,"pce",2208.6,0.145974378115856
"190",1983-04-01,"pce",2231.8,0.147965093829639
"191",1983-05-01,"pce",2251,0.149612582696218
"192",1983-06-01,"pce",2280.8,0.152169622707888
"193",1983-07-01,"pce",2309,0.154589371980676
"194",1983-08-01,"pce",2324.8,0.155945118027132
"195",1983-09-01,"pce",2339.1,0.157172154005886
"196",1983-10-01,"pce",2361.8,0.159119966363769
"197",1983-11-01,"pce",2370.4,0.159857904085258
"198",1983-12-01,"pce",2397.9,0.162217588659785
"199",1984-01-01,"pce",2423.8,0.164439982495431
"200",1984-02-01,"pce",2408.1,0.163092817120155
"201",1984-03-01,"pce",2436.4,0.165521147064123
"202",1984-04-01,"pce",2462.6,0.167769282913309
"203",1984-05-01,"pce",2479.8,0.169245158356287
"204",1984-06-01,"pce",2501.2,0.171081421988828
"205",1984-07-01,"pce",2500.5,0.171021357290567
"206",1984-08-01,"pce",2518.4,0.172557297431805
"207",1984-09-01,"pce",2540.3,0.174436464420247
"208",1984-10-01,"pce",2538.2,0.174256270325465
"209",1984-11-01,"pce",2578.6,0.177722861482225
"210",1984-12-01,"pce",2590,0.178701057996756
"211",1985-01-01,"pce",2626.3,0.181815841635133
"212",1985-02-01,"pce",2648.6,0.183729331308295
"213",1985-03-01,"pce",2656.8,0.184432946345063
"214",1985-04-01,"pce",2668.4,0.185428304201955
"215",1985-05-01,"pce",2705.9,0.188646055894492
"216",1985-06-01,"pce",2699.3,0.188079731596605
"217",1985-07-01,"pce",2725.9,0.190362190130512
"218",1985-08-01,"pce",2762.7,0.193519877124789
"219",1985-09-01,"pce",2805.6,0.197200985061051
"220",1985-10-01,"pce",2767.1,0.193897426656713
"221",1985-11-01,"pce",2782.7,0.195236011360809
"222",1985-12-01,"pce",2822.8,0.198676860504029
"223",1986-01-01,"pce",2838.3,0.200006864536944
"224",1986-02-01,"pce",2831.2,0.199397636883157
"225",1986-03-01,"pce",2834.7,0.19969796037446
"226",1986-04-01,"pce",2846.5,0.200710479573712
"227",1986-05-01,"pce",2869,0.202641130589235
"228",1986-06-01,"pce",2873.5,0.203027260792339
"229",1986-07-01,"pce",2893.4,0.204734814357179
"230",1986-08-01,"pce",2911.1,0.206253593156057
"231",1986-09-01,"pce",2984.6,0.21256038647343
"232",1986-10-01,"pce",2945.9,0.209239666726731
"233",1986-11-01,"pce",2941.7,0.208879278537167
"234",1986-12-01,"pce",3010.8,0.214808522322616
"235",1987-01-01,"pce",2949.9,0.209582893573935
"236",1987-02-01,"pce",3016.5,0.215297620579882
"237",1987-03-01,"pce",3028.4,0.216318720450314
"238",1987-04-01,"pce",3054.1,0.218523952943599
"239",1987-05-01,"pce",3063.9,0.219364858719249
"240",1987-06-01,"pce",3088.4,0.221467123158373
"241",1987-07-01,"pce",3110.7,0.223380612831536
"242",1987-08-01,"pce",3147,0.226495396469912
"243",1987-09-01,"pce",3142.9,0.226143588951528
"244",1987-10-01,"pce",3151.1,0.226847203988296
"245",1987-11-01,"pce",3160.9,0.227688109763946
"246",1987-12-01,"pce",3190.9,0.230262311117976
"247",1988-01-01,"pce",3230.7,0.233677418247655
"248",1988-02-01,"pce",3238.5,0.234346710599703
"249",1988-03-01,"pce",3277.8,0.237718914373482
"250",1988-04-01,"pce",3280.4,0.237942011824165
"251",1988-05-01,"pce",3311,0.240567697205275
"252",1988-06-01,"pce",3335.6,0.24267854231558
"253",1988-07-01,"pce",3359.3,0.244712161385264
"254",1988-08-01,"pce",3384.3,0.246857329180288
"255",1988-09-01,"pce",3391.4,0.247466556834076
"256",1988-10-01,"pce",3430.4,0.250813018594314
"257",1988-11-01,"pce",3447,0.252237410010211
"258",1988-12-01,"pce",3476.3,0.25475154666598
"259",1989-01-01,"pce",3499.9,0.256776585064484
"260",1989-02-01,"pce",3503.9,0.257119811911688
"261",1989-03-01,"pce",3514.5,0.258029363056778
"262",1989-04-01,"pce",3558.6,0.261813439047202
"263",1989-05-01,"pce",3567.5,0.262577118782231
"264",1989-06-01,"pce",3582.4,0.263855638788066
"265",1989-07-01,"pce",3601.7,0.265511708325825
"266",1989-08-01,"pce",3636.8,0.26852352391004
"267",1989-09-01,"pce",3638.1,0.268635072635381
"268",1989-10-01,"pce",3650,0.269656172505813
"269",1989-11-01,"pce",3659.7,0.270488497610283
"270",1989-12-01,"pce",3700.7,0.274006572794124
"271",1990-01-01,"pce",3747.2,0.27799658489287
"272",1990-02-01,"pce",3744.8,0.277790648784548
"273",1990-03-01,"pce",3771.5,0.280081687989635
"274",1990-04-01,"pce",3786.7,0.28138595000901
"275",1990-05-01,"pce",3792.5,0.281883628937455
"276",1990-06-01,"pce",3821.3,0.284354862237324
"277",1990-07-01,"pce",3838.5,0.285830737680301
"278",1990-08-01,"pce",3865,0.288104615543028
"279",1990-09-01,"pce",3886.7,0.289966621189109
"280",1990-10-01,"pce",3887.1,0.29000094387383
"281",1990-11-01,"pce",3888.4,0.290112492599171
"282",1990-12-01,"pce",3877.8,0.289202941454081
"283",1991-01-01,"pce",3857.6,0.2874696458757
"284",1991-02-01,"pce",3883.3,0.289674878368986
"285",1991-03-01,"pce",3929.7,0.293656309796552
"286",1991-04-01,"pce",3923.9,0.293158630868107
"287",1991-05-01,"pce",3950,0.295398186046113
"288",1991-06-01,"pce",3957.1,0.2960074136999
"289",1991-07-01,"pce",3982.4,0.298178323508465
"290",1991-08-01,"pce",3985.4,0.298435743643868
"291",1991-09-01,"pce",4001.2,0.299791489690324
"292",1991-10-01,"pce",3992.9,0.299079293982375
"293",1991-11-01,"pce",4020.6,0.301456139899263
"294",1991-12-01,"pce",4037.7,0.30292343467106
"295",1992-01-01,"pce",4101.9,0.308432225568684
"296",1992-02-01,"pce",4116.8,0.309710745574519
"297",1992-03-01,"pce",4134.3,0.311212363031036
"298",1992-04-01,"pce",4149,0.312473721694511
"299",1992-05-01,"pce",4176.1,0.314799083584318
"300",1992-06-01,"pce",4195,0.316420830437357
"301",1992-07-01,"pce",4223,0.318823418367785
"302",1992-08-01,"pce",4239.3,0.320222067770141
"303",1992-09-01,"pce",4273.9,0.323190979998455
"304",1992-10-01,"pce",4303.5,0.325730858667765
"305",1992-11-01,"pce",4319.5,0.327103766056581
"306",1992-12-01,"pce",4355.6,0.330201388352597
"307",1993-01-01,"pce",4359.7,0.330553195870981
"308",1993-02-01,"pce",4374.3,0.331805973863276
"309",1993-03-01,"pce",4371.4,0.331557134399053
"310",1993-04-01,"pce",4412.4,0.335075209582894
"311",1993-05-01,"pce",4441.3,0.337555023553942
"312",1993-06-01,"pce",4458.8,0.33905664101046
"313",1993-07-01,"pce",4487.7,0.341536454981509
"314",1993-08-01,"pce",4499.9,0.342583296865481
"315",1993-09-01,"pce",4530.5,0.345208982246591
"316",1993-10-01,"pce",4552,0.347053826550313
"317",1993-11-01,"pce",4573.4,0.348890090182854
"318",1993-12-01,"pce",4590.7,0.350374546297011
"319",1994-01-01,"pce",4604.8,0.351584420933405
"320",1994-02-01,"pce",4652.3,0.355660239743953
"321",1994-03-01,"pce",4665.4,0.356784307668546
"322",1994-04-01,"pce",4690.7,0.358955217477111
"323",1994-05-01,"pce",4689.2,0.35882650740941
"324",1994-06-01,"pce",4728.8,0.362224453196729
"325",1994-07-01,"pce",4740.8,0.363254133738341
"326",1994-08-01,"pce",4783,0.366875176976343
"327",1994-09-01,"pce",4795.5,0.367947760873856
"328",1994-10-01,"pce",4833.3,0.371191254579933
"329",1994-11-01,"pce",4846,0.372280999819806
"330",1994-12-01,"pce",4862.3,0.373679649222162
"331",1995-01-01,"pce",4871.9,0.374503393655452
"332",1995-02-01,"pce",4871.7,0.374486232313092
"333",1995-03-01,"pce",4906.5,0.377472305883766
"334",1995-04-01,"pce",4911.5,0.377901339442771
"335",1995-05-01,"pce",4954.4,0.381582447379034
"336",1995-06-01,"pce",4999,0.385409426725358
"337",1995-07-01,"pce",4991.8,0.384791618400391
"338",1995-08-01,"pce",5027.1,0.387820595326966
"339",1995-09-01,"pce",5042.5,0.389142018688702
"340",1995-10-01,"pce",5035.9,0.388575694390815
"341",1995-11-01,"pce",5077.8,0.392170995615277
"342",1995-12-01,"pce",5120.1,0.395800619524459
"343",1996-01-01,"pce",5108.9,0.394839584352288
"344",1996-02-01,"pce",5156.1,0.398889661149295
"345",1996-03-01,"pce",5196.4,0.402347671634875
"346",1996-04-01,"pce",5231.6,0.40536806789027
"347",1996-05-01,"pce",5247.2,0.406706652594366
"348",1996-06-01,"pce",5253.7,0.407264396221072
"349",1996-07-01,"pce",5275.8,0.409160724551874
"350",1996-08-01,"pce",5299,0.411151440265658
"351",1996-09-01,"pce",5320,0.412953381213479
"352",1996-10-01,"pce",5351.5,0.41565629263521
"353",1996-11-01,"pce",5375,0.417672750362533
"354",1996-12-01,"pce",5401.7,0.41996378956762
"355",1997-01-01,"pce",5434.9,0.422812572399413
"356",1997-02-01,"pce",5457.7,0.424768965428476
"357",1997-03-01,"pce",5477.6,0.426476518993316
"358",1997-04-01,"pce",5482.8,0.426922713894681
"359",1997-05-01,"pce",5484.3,0.427051423962382
"360",1997-06-01,"pce",5518.2,0.429960271492436
"361",1997-07-01,"pce",5573,0.434662479299131
"362",1997-08-01,"pce",5611.8,0.437991779717009
"363",1997-09-01,"pce",5625.6,0.439175912339863
"364",1997-10-01,"pce",5661.2,0.442230631279979
"365",1997-11-01,"pce",5685.2,0.444289992363203
"366",1997-12-01,"pce",5716.4,0.446967161771394
"367",1998-01-01,"pce",5714.4,0.446795548347792
"368",1998-02-01,"pce",5748.4,0.449712976549026
"369",1998-03-01,"pce",5775,0.451995435082932
"370",1998-04-01,"pce",5812.9,0.45524750946019
"371",1998-05-01,"pce",5863.3,0.45957216773496
"372",1998-06-01,"pce",5897.2,0.462481015265014
"373",1998-07-01,"pce",5915.6,0.464059858762152
"374",1998-08-01,"pce",5951,0.467097416359908
"375",1998-09-01,"pce",5991.8,0.470598330201388
"376",1998-10-01,"pce",6025.8,0.473515758402622
"377",1998-11-01,"pce",6042.7,0.474965891832059
"378",1998-12-01,"pce",6098.2,0.479728164337014
"379",1999-01-01,"pce",6099.1,0.479805390377635
"380",1999-02-01,"pce",6128.2,0.482302365691044
"381",1999-03-01,"pce",6159.7,0.485005277112776
"382",1999-04-01,"pce",6223.6,0.49048832599686
"383",1999-05-01,"pce",6253.4,0.493045366008529
"384",1999-06-01,"pce",6281.9,0.495490857294858
"385",1999-07-01,"pce",6309.5,0.497859122540565
"386",1999-08-01,"pce",6354.8,0.50174616658515
"387",1999-09-01,"pce",6407.4,0.506259599625883
"388",1999-10-01,"pce",6431.2,0.508301799366746
"389",1999-11-01,"pce",6467.2,0.511390840991582
"390",1999-12-01,"pce",6568.2,0.520057318883483
"391",2000-01-01,"pce",6564.7,0.51975699539218
"392",2000-02-01,"pce",6648.7,0.526964759183463
"393",2000-03-01,"pce",6714.8,0.532636582833509
"394",2000-04-01,"pce",6701,0.531452450210655
"395",2000-05-01,"pce",6737.2,0.534558653177852
"396",2000-06-01,"pce",6773.6,0.537682017487408
"397",2000-07-01,"pce",6793.7,0.539406732394608
"398",2000-08-01,"pce",6828.7,0.542409967307643
"399",2000-09-01,"pce",6913.1,0.549652053783647
"400",2000-10-01,"pce",6919.6,0.550209797410353
"401",2000-11-01,"pce",6934.5,0.551488317416188
"402",2000-12-01,"pce",6979.1,0.555315296762513
"403",2001-01-01,"pce",7009.8,0.557949562814803
"404",2001-02-01,"pce",7029.3,0.559622793694923
"405",2001-03-01,"pce",7022.1,0.559004985369956
"406",2001-04-01,"pce",7036.2,0.56021486000635
"407",2001-05-01,"pce",7083.1,0.564239194789817
"408",2001-06-01,"pce",7097.1,0.565440488755031
"409",2001-07-01,"pce",7109.2,0.566478749967822
"410",2001-08-01,"pce",7146.1,0.569645017633279
"411",2001-09-01,"pce",7054.8,0.561810864845848
"412",2001-10-01,"pce",7250.2,0.578577496331763
"413",2001-11-01,"pce",7209.6,0.575093743832643
"414",2001-12-01,"pce",7190,0.573411932281343
"415",2002-01-01,"pce",7217.7,0.575788778198231
"416",2002-02-01,"pce",7259.7,0.579392660093873
"417",2002-03-01,"pce",7276.7,0.58085137419449
"418",2002-04-01,"pce",7345.6,0.586763456637578
"419",2002-05-01,"pce",7321.8,0.584721256896715
"420",2002-06-01,"pce",7366.1,0.588522494229499
"421",2002-07-01,"pce",7424.2,0.593507864185137
"422",2002-08-01,"pce",7449,0.595635870637801
"423",2002-09-01,"pce",7426.1,0.593670896937558
"424",2002-10-01,"pce",7469.3,0.597377746887362
"425",2002-11-01,"pce",7499.8,0.599994851597292
"426",2002-12-01,"pce",7552.6,0.604525445980385
"427",2003-01-01,"pce",7579.5,0.606833646527831
"428",2003-02-01,"pce",7573.6,0.606327386928206
"429",2003-03-01,"pce",7627.5,0.610952368694279
"430",2003-04-01,"pce",7661.7,0.613886958237873
"431",2003-05-01,"pce",7669.2,0.614530508576381
"432",2003-06-01,"pce",7722.9,0.619138329000094
"433",2003-07-01,"pce",7783.8,0.624363957748775
"434",2003-08-01,"pce",7878.9,0.63252417604105
"435",2003-09-01,"pce",7874,0.632103723153225
"436",2003-10-01,"pce",7890.6,0.633528114569122
"437",2003-11-01,"pce",7950.4,0.638659355934821
"438",2003-12-01,"pce",7974.3,0.640710136346865
"439",2004-01-01,"pce",8037.3,0.646115959190328
"440",2004-02-01,"pce",8072.1,0.649102032761003
"441",2004-03-01,"pce",8121,0.653297980968071
"442",2004-04-01,"pce",8141.6,0.655065599231172
"443",2004-05-01,"pce",8212.9,0.661183617782583
"444",2004-06-01,"pce",8204.6,0.660471422074635
"445",2004-07-01,"pce",8270.7,0.666143245724681
"446",2004-08-01,"pce",8294.4,0.668176864794364
"447",2004-09-01,"pce",8373,0.674921272341923
"448",2004-10-01,"pce",8417.9,0.678773993701787
"449",2004-11-01,"pce",8458.4,0.682249165529728
"450",2004-12-01,"pce",8516.5,0.687234535485366
"451",2005-01-01,"pce",8521.2,0.68763782703083
"452",2005-02-01,"pce",8575.7,0.692314292823985
"453",2005-03-01,"pce",8622.5,0.696330046936271
"454",2005-04-01,"pce",8715.9,0.704344393818484
"455",2005-05-01,"pce",8680.6,0.701315416891909
"456",2005-06-01,"pce",8775.3,0.709441312499464
"457",2005-07-01,"pce",8867.9,0.717387014012236
"458",2005-08-01,"pce",8872.6,0.717790305557701
"459",2005-09-01,"pce",8923.6,0.722166447859552
"460",2005-10-01,"pce",8959.6,0.725255489484388
"461",2005-11-01,"pce",8987.7,0.727666658085996
"462",2005-12-01,"pce",9026.8,0.731021700517414
"463",2006-01-01,"pce",9100.1,0.737311332492428
"464",2006-02-01,"pce",9134.7,0.740280244720742
"465",2006-03-01,"pce",9168.1,0.743146188894895
"466",2006-04-01,"pce",9223.3,0.74788271938631
"467",2006-05-01,"pce",9254.1,0.750525566109781
"468",2006-06-01,"pce",9283.8,0.753074025450271
"469",2006-07-01,"pce",9360.4,0.759646819574227
"470",2006-08-01,"pce",9368.6,0.760350434610995
"471",2006-09-01,"pce",9393.9,0.76252134441956
"472",2006-10-01,"pce",9413.3,0.7641859946285
"473",2006-11-01,"pce",9431.2,0.765721934769738
"474",2006-12-01,"pce",9516.5,0.773041247286363
"475",2007-01-01,"pce",9553.1,0.776181772938279
"476",2007-02-01,"pce",9590.8,0.779416685973177
"477",2007-03-01,"pce",9631.6,0.782917599814658
"478",2007-04-01,"pce",9670.6,0.786264061574896
"479",2007-05-01,"pce",9708.9,0.789550458636875
"480",2007-06-01,"pce",9723.3,0.790786075286809
"481",2007-07-01,"pce",9759.6,0.793900858925185
"482",2007-08-01,"pce",9800.6,0.797418934109026
"483",2007-09-01,"pce",9837.5,0.800585201774483
"484",2007-10-01,"pce",9853.9,0.801992431848019
"485",2007-11-01,"pce",9928.6,0.808402193219554
"486",2007-12-01,"pce",9947.6,0.810032520743773
"487",2008-01-01,"pce",9963.2,0.811371105447868
"488",2008-02-01,"pce",9955.7,0.810727555109361
"489",2008-03-01,"pce",10004.2,0.814889180631709
"490",2008-04-01,"pce",10044.6,0.818355771788469
"491",2008-05-01,"pce",10093.3,0.822534558653178
"492",2008-06-01,"pce",10149.4,0.827348315185214
"493",2008-07-01,"pce",10151.1,0.827494186595276
"494",2008-08-01,"pce",10140.3,0.826567474107825
"495",2008-09-01,"pce",10083.2,0.821667910863988
"496",2008-10-01,"pce",9983.3,0.813095820355068
"497",2008-11-01,"pce",9851.2,0.801760753726157
"498",2008-12-01,"pce",9744.2,0.79257943556345
"499",2009-01-01,"pce",9792.1,0.796689577058718
"500",2009-02-01,"pce",9775.7,0.795282346985181
"501",2009-03-01,"pce",9742.9,0.792467886838108
"502",2009-04-01,"pce",9741.9,0.792382080126308
"503",2009-05-01,"pce",9759.7,0.793909439596365
"504",2009-06-01,"pce",9807.6,0.798019581091633
"505",2009-07-01,"pce",9835.2,0.800387846337341
"506",2009-08-01,"pce",9961.9,0.811259556722527
"507",2009-09-01,"pce",9875.4,0.803837276151741
"508",2009-10-01,"pce",9924.6,0.80805896637235
"509",2009-11-01,"pce",9946.1,0.809903810676071
"510",2009-12-01,"pce",10000.6,0.814580276469225
"511",2010-01-01,"pce",10003.4,0.814820535262268
"512",2010-02-01,"pce",10034.7,0.817506285341639
"513",2010-03-01,"pce",10095.5,0.82272333341914
"514",2010-04-01,"pce",10106.9,0.823701529933671
"515",2010-05-01,"pce",10140.2,0.826558893436645
"516",2010-06-01,"pce",10165.9,0.82876412592993
"517",2010-07-01,"pce",10184.3,0.830342969427069
"518",2010-08-01,"pce",10247.1,0.835731630928171
"519",2010-09-01,"pce",10268.9,0.837602217245433
