"","study","time","id","calm","secure","tense","regretful","at.ease","upset","worrying","rested","anxious","comfortable","confident","nervous","jittery","high.strung","relaxed","content","worried","rattled","joyful","pleasant"
"69","AGES",2,1,3,3,2,1,2,1,1,3,2,3,3,2,2,2,3,3,1,1,3,3
"70","AGES",2,2,3,3,2,2,2,3,2,1,2,2,2,2,1,1,3,2,3,1,2,3
"71","AGES",2,3,2,3,2,1,3,1,2,2,1,3,3,2,2,1,3,3,2,1,2,3
"72","AGES",2,4,2,4,2,1,2,1,1,3,2,4,3,2,3,2,2,4,1,3,3,3
"73","AGES",2,5,3,3,1,1,2,1,1,3,1,3,3,1,1,1,2,3,1,1,1,3
"74","AGES",2,6,4,4,1,1,4,1,1,4,4,4,4,1,1,2,4,4,1,1,4,4
"75","AGES",2,7,2,2,1,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2
"76","AGES",2,8,4,4,1,1,4,1,1,2,1,3,2,1,1,1,4,3,1,1,2,3
"77","AGES",2,9,1,3,4,2,1,2,2,1,3,3,2,4,4,4,1,2,1,4,2,1
"78","AGES",2,10,3,3,1,1,2,1,2,2,1,2,3,1,1,1,2,2,1,1,2,3
"79","AGES",2,11,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1
"80","AGES",2,12,1,3,4,1,1,2,1,2,3,1,3,3,3,3,2,2,1,4,1,2
"81","AGES",2,13,3,3,1,1,3,1,1,2,1,3,3,1,1,1,3,3,1,1,2,2
"82","AGES",2,14,2,2,2,1,1,1,2,1,2,2,3,2,1,1,3,2,2,1,2,1
"83","AGES",2,15,4,4,1,1,4,1,1,3,1,4,4,1,1,1,3,4,1,1,4,4
"84","AGES",2,16,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"85","AGES",2,17,1,2,4,1,1,1,1,1,4,1,1,1,4,4,1,1,1,4,1,1
"86","AGES",2,18,2,1,3,2,1,1,3,2,3,2,2,2,1,3,2,1,4,2,1,2
"87","AGES",2,19,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"88","AGES",2,20,3,2,1,2,3,1,2,2,1,3,2,1,2,1,2,3,2,2,3,3
"89","AGES",2,21,1,2,3,1,1,2,1,2,3,2,2,3,2,2,1,2,1,2,1,1
"90","AGES",2,22,2,3,3,1,2,1,1,2,3,2,3,3,3,3,2,3,2,3,3,3
"91","AGES",2,23,3,2,1,1,3,1,2,3,1,2,2,1,1,1,3,2,1,1,2,2
"92","AGES",2,24,1,1,3,1,1,2,4,1,2,1,1,3,3,2,1,1,3,1,1,1
"93","AGES",2,25,4,3,1,1,4,1,1,1,1,3,2,1,1,1,3,2,1,1,1,3
"94","AGES",2,26,2,2,1,1,2,1,1,2,1,2,2,1,1,1,3,NA,1,1,1,1
"95","AGES",2,27,2,2,1,1,2,3,2,1,1,1,2,1,1,3,4,1,1,1,1,1
"96","AGES",2,28,4,3,1,1,3,1,1,2,1,3,3,1,1,1,4,3,1,1,2,4
"97","AGES",2,29,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1
"98","AGES",2,30,2,4,2,1,2,1,1,1,2,2,4,3,3,2,2,2,1,2,3,3
"99","AGES",2,31,2,2,1,1,3,1,2,2,1,3,2,1,1,1,3,2,2,1,1,3
"100","AGES",2,32,2,2,1,2,2,1,2,2,1,3,2,1,1,1,3,3,1,1,2,2
"101","AGES",2,33,2,2,1,1,2,1,1,2,3,2,3,1,1,1,2,2,1,1,2,2
"102","AGES",2,34,1,2,3,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1
"103","AGES",2,35,2,2,3,1,2,3,2,1,3,2,2,3,2,3,2,2,3,1,2,2
"104","AGES",2,36,4,4,1,1,4,1,1,2,1,4,3,1,1,1,4,4,1,1,3,4
"105","AGES",2,37,3,2,2,2,2,1,2,2,2,3,2,1,2,1,2,2,1,1,2,2
"106","AGES",2,38,1,1,3,4,1,3,4,1,1,1,1,3,4,4,1,1,4,1,3,1
"107","AGES",2,39,4,4,1,1,3,1,1,2,1,3,4,1,2,1,3,3,1,1,2,3
"108","AGES",2,40,4,3,2,2,2,1,1,NA,2,3,4,2,1,1,3,3,2,1,3,2
"109","AGES",2,41,3,2,1,1,3,1,1,4,1,2,2,1,3,1,3,2,1,1,1,2
"110","AGES",2,42,2,2,1,2,2,1,1,3,1,2,1,1,1,1,2,2,1,1,1,1
"111","AGES",2,43,3,3,2,1,3,1,1,2,1,3,3,2,2,1,3,3,2,1,2,3
"112","AGES",2,44,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2
"113","AGES",2,45,3,3,1,1,3,1,1,2,1,3,2,1,1,1,3,3,1,1,3,3
"114","AGES",2,46,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2
"115","AGES",2,47,1,2,3,2,1,2,2,2,3,2,2,3,3,3,2,2,2,2,1,2
"116","AGES",2,48,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1
"117","AGES",2,49,2,4,1,1,3,1,1,4,2,2,4,2,2,2,3,4,1,2,3,4
"118","AGES",2,50,3,3,1,1,3,1,2,2,1,3,3,1,1,1,2,3,2,1,3,3
"119","AGES",2,51,2,4,3,3,2,3,3,1,2,3,3,3,2,2,2,1,3,1,1,2
"120","AGES",2,52,4,3,1,1,4,1,1,3,1,3,3,1,1,1,4,4,1,1,3,4
"121","AGES",2,53,2,2,2,1,2,1,2,1,2,3,2,2,2,2,3,3,2,1,1,2
"122","AGES",2,54,2,2,3,1,2,2,3,2,2,2,2,2,1,3,2,2,3,1,2,2
"123","AGES",2,55,3,2,2,1,1,2,3,1,2,4,2,2,3,2,1,4,2,1,4,2
"124","AGES",2,56,3,4,2,1,3,2,1,2,3,3,3,3,3,2,2,3,2,2,1,3
"125","AGES",2,57,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2
"126","AGES",2,58,3,3,2,1,3,2,1,2,1,3,3,1,1,1,3,3,2,1,2,3
"127","AGES",2,59,1,1,2,1,1,1,1,1,3,1,3,1,2,1,2,1,1,1,1,1
"128","AGES",2,60,3,4,1,1,3,1,2,3,2,4,4,1,1,1,3,3,1,1,2,3
"129","AGES",2,61,4,3,2,1,4,1,2,2,2,3,3,2,2,2,2,3,2,3,3,3
"130","AGES",2,62,4,3,1,1,4,1,1,1,2,4,2,1,1,1,3,3,1,1,1,2
"131","AGES",2,63,1,4,3,1,1,2,2,1,4,1,2,3,4,3,1,1,1,3,1,1
"132","AGES",2,64,4,4,1,1,4,1,2,2,2,3,4,1,1,1,4,4,2,1,2,2
"133","AGES",2,66,4,4,1,1,3,1,1,1,1,3,3,1,1,1,4,4,1,1,2,4
"134","AGES",2,67,2,3,4,1,2,1,3,2,4,2,2,4,4,3,2,2,4,4,2,2
"135","AGES",2,68,2,2,3,1,2,1,2,4,3,2,2,2,3,2,2,2,2,3,2,3
"136","AGES",2,69,1,4,1,1,1,1,1,4,4,1,4,1,4,4,1,1,1,1,4,4
"137","Cart",1,1,4,2,1,1,3,1,2,3,1,2,2,1,1,1,3,2,1,1,1,2
"138","Cart",1,2,4,4,1,1,4,1,1,2,1,4,4,1,1,1,4,4,1,1,3,4
"139","Cart",1,3,2,2,2,1,2,1,1,1,2,3,2,2,3,2,2,2,1,2,2,2
"140","Cart",1,4,3,3,2,1,3,1,1,2,2,3,3,2,1,1,3,3,2,1,2,3
"141","Cart",1,5,4,3,1,1,2,1,1,2,2,3,2,1,1,1,2,2,1,1,1,3
"142","Cart",1,6,4,3,1,1,3,1,2,2,1,2,3,1,1,1,3,3,2,1,1,3
"143","Cart",1,7,4,3,1,1,2,1,1,3,1,2,1,1,1,1,2,2,1,1,1,2
"144","Cart",1,8,4,3,1,1,4,1,1,3,1,3,3,1,1,1,4,4,1,2,3,3
"145","Cart",1,9,2,2,3,3,2,3,4,1,3,1,1,3,1,1,1,1,3,1,1,1
"146","Cart",1,10,3,3,2,1,3,3,2,1,1,2,3,1,1,1,3,2,3,2,2,2
"147","Cart",1,11,4,4,1,1,3,1,1,2,1,3,4,1,1,1,3,3,1,1,1,3
"148","Cart",1,12,4,3,2,1,4,2,2,2,2,3,3,2,1,2,4,4,2,1,1,2
"149","Cart",1,13,3,2,1,2,2,1,1,2,1,2,2,1,1,1,2,NA,NA,NA,NA,NA
"150","Cart",1,14,4,3,1,2,2,1,3,1,2,3,3,1,1,1,4,2,2,1,2,2
"151","Cart",1,15,2,2,2,1,2,1,2,2,1,2,2,3,3,2,2,2,1,2,2,2
"152","Cart",1,16,2,4,2,1,3,1,1,1,1,3,3,1,2,2,1,4,1,1,1,1
"153","Cart",1,17,4,4,1,1,3,1,1,1,2,3,3,2,2,1,3,3,2,1,2,4
"154","Cart",1,18,3,3,2,1,2,1,2,2,1,2,3,1,1,2,2,1,2,1,1,1
"155","Cart",1,19,3,3,1,1,3,2,4,2,2,3,3,1,1,1,3,2,2,1,1,2
"156","Cart",1,20,3,3,1,1,3,1,1,1,1,3,2,1,1,1,2,2,2,1,1,2
"157","Cart",1,21,3,3,1,1,3,1,1,2,1,3,2,1,1,1,3,4,1,1,2,2
"158","Cart",1,22,4,4,1,1,4,1,1,3,1,3,3,1,1,1,4,3,1,1,1,3
"159","Cart",1,23,3,2,2,2,2,1,3,2,2,2,3,2,2,1,3,2,2,1,2,2
"160","Cart",1,24,2,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,2,3
"161","Cart",1,25,4,4,1,4,1,1,1,3,1,4,4,1,1,1,4,4,1,1,3,4
"162","Cart",1,26,3,3,1,1,3,1,2,1,1,3,3,1,1,1,2,3,2,1,1,2
"163","Cart",1,27,2,2,1,1,3,1,1,2,1,2,2,1,1,1,2,3,1,1,1,1
"164","Cart",1,28,4,4,1,3,4,1,1,1,1,1,2,1,1,1,2,3,1,1,1,3
"165","Cart",1,29,4,4,1,1,4,1,2,2,1,4,4,1,1,1,4,4,1,1,3,4
"166","Cart",1,30,4,3,2,1,4,1,2,1,2,2,4,1,1,1,3,3,1,1,2,3
"167","Cart",1,31,4,4,1,1,4,2,2,1,2,2,3,1,1,2,2,2,2,1,2,2
"168","Cart",1,32,4,4,1,1,4,1,1,3,1,4,3,2,1,1,3,3,1,1,2,3
"169","Cart",1,33,4,3,1,1,4,1,2,3,1,4,1,1,1,1,4,4,1,1,2,4
"170","Cart",1,34,4,4,1,1,4,1,1,3,1,4,4,1,1,1,4,4,1,1,4,4
"171","Cart",1,35,4,4,1,1,3,1,1,2,2,3,4,1,1,1,3,3,1,1,2,3
"172","Cart",1,36,4,3,1,1,2,1,1,1,1,3,2,1,1,1,4,2,1,1,2,2
"173","Cart",1,37,2,2,1,1,3,1,1,1,1,2,2,1,1,1,2,2,1,1,2,3
"174","Cart",1,38,3,4,1,1,3,1,1,2,2,3,3,1,1,1,3,4,1,1,3,4
"175","Cart",1,39,2,3,1,1,3,1,2,3,1,3,3,1,2,1,3,3,2,1,1,3
"176","Cart",1,40,4,4,1,2,4,1,2,4,2,4,4,1,1,1,4,4,1,1,2,4
"177","Cart",1,41,3,3,1,1,2,1,1,2,1,2,2,1,1,1,3,2,1,1,1,2
"178","Cart",1,42,3,3,1,1,3,1,1,2,1,3,4,2,1,1,3,3,1,1,3,3
"179","Cart",1,43,3,2,2,3,2,2,4,2,2,3,2,2,3,3,1,3,3,2,3,3
"180","Cart",1,44,4,3,1,1,3,1,2,3,2,3,3,2,1,1,3,2,1,1,3,3
"181","Cart",1,45,4,4,2,1,3,1,1,1,2,2,4,2,2,1,3,4,2,1,3,4
"182","Cart",1,46,3,4,1,1,3,1,1,3,1,3,3,1,1,1,3,3,1,1,2,2
"183","Cart",1,47,4,4,1,1,4,1,1,2,1,4,4,1,1,1,4,4,1,1,2,3
"184","Cart",1,48,3,4,1,1,3,1,4,2,1,3,4,2,1,4,3,2,1,2,2,3
"185","Cart",1,49,4,4,1,1,4,1,1,2,1,3,3,1,1,1,4,3,1,1,2,3
"186","Cart",1,50,3,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,1,2
"187","Cart",1,51,2,2,1,2,1,2,2,1,1,3,2,1,1,1,2,2,3,1,1,1
"188","Cart",1,52,2,3,3,1,2,2,3,1,1,2,4,1,2,2,1,3,3,3,2,2
"189","Cart",1,53,3,3,1,1,4,1,1,2,1,4,3,1,1,1,3,3,1,1,1,3
"190","Cart",1,54,2,4,3,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2
"191","Cart",1,55,4,2,1,1,4,2,2,1,3,4,2,1,1,3,2,2,4,1,1,2
"192","Cart",1,56,3,2,2,3,2,2,3,1,2,3,1,2,2,2,4,2,3,1,2,2
"193","Cart",1,57,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,3,1,1,2,3
"194","Cart",1,58,3,3,2,1,2,1,1,1,1,2,1,1,1,1,3,3,1,1,2,2
"195","Cart",1,59,3,3,2,1,2,2,1,2,2,4,2,2,2,2,3,3,2,1,2,3
"196","Cart",1,60,2,2,1,2,2,1,3,2,2,2,2,1,2,1,2,3,2,1,2,3
"197","Cart",1,61,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1
"198","Cart",1,62,4,3,1,1,4,2,4,2,1,4,4,1,1,1,4,1,2,1,1,2
"199","Cart",1,63,4,4,1,1,4,1,1,3,1,4,4,1,1,1,4,4,1,1,3,4
"200","Cart",2,1,4,2,1,1,3,1,2,3,1,2,2,1,1,1,2,1,1,1,1,2
"201","Cart",2,2,4,4,1,1,4,1,2,1,1,4,4,1,1,1,4,4,1,1,3,4
"202","Cart",2,3,3,2,1,1,3,1,1,2,2,3,3,1,2,2,3,3,1,2,2,3
"203","Cart",2,4,4,3,2,1,3,2,1,1,2,2,3,1,1,1,4,1,1,1,1,1
"204","Cart",2,5,2,2,2,1,2,2,1,2,3,2,2,1,1,1,2,2,1,1,1,1
"205","Cart",2,6,3,3,1,1,2,1,1,2,1,3,3,1,1,1,3,3,1,1,1,2
"206","Cart",2,7,3,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2
"207","Cart",2,8,4,3,1,1,4,1,1,2,1,3,3,1,1,1,3,3,1,1,2,2
"208","Cart",2,9,2,2,3,1,2,1,4,1,1,1,2,1,1,3,1,1,1,1,1,1
"209","Cart",2,10,3,3,1,1,3,2,1,2,1,3,4,1,1,2,3,3,1,1,2,3
"210","Cart",2,11,3,3,1,1,3,1,1,2,1,2,3,1,1,1,4,3,1,1,1,3
"211","Cart",2,12,4,3,1,2,3,1,1,2,1,3,2,1,4,2,3,2,1,2,1,2
"212","Cart",2,13,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,1,2
"213","Cart",2,14,3,3,1,2,2,1,2,2,2,2,2,1,1,1,3,1,1,1,2,2
"214","Cart",2,15,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"215","Cart",2,16,2,3,3,1,3,1,1,1,1,3,3,1,1,1,2,2,1,1,1,2
"216","Cart",2,17,3,3,2,2,3,2,1,2,1,3,3,1,1,1,3,2,1,1,2,3
"217","Cart",2,18,2,2,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2
"218","Cart",2,19,2,2,1,1,2,2,3,1,1,2,2,1,1,1,2,2,2,1,2,2
"219","Cart",2,20,3,3,1,1,1,1,1,1,1,3,2,1,1,1,3,2,1,1,1,2
"220","Cart",2,21,3,3,1,1,2,1,1,2,1,2,2,1,1,1,3,3,1,1,2,2
"221","Cart",2,22,2,3,2,1,3,1,1,1,2,2,4,1,1,1,2,3,1,2,1,3
"222","Cart",2,23,2,1,4,3,2,2,3,1,3,2,1,4,4,4,1,1,2,3,1,1
"223","Cart",2,24,2,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2
"224","Cart",2,25,3,3,1,1,3,1,1,3,1,3,3,1,1,1,3,3,1,1,3,3
"225","Cart",2,26,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,2
"226","Cart",2,27,2,2,1,1,2,1,2,2,1,1,2,1,1,1,2,3,1,1,1,1
"227","Cart",2,28,3,3,1,1,4,1,1,1,1,3,3,1,1,1,2,3,1,1,1,3
"228","Cart",2,29,4,4,1,1,4,1,1,2,1,4,4,1,1,1,4,4,1,1,3,4
"229","Cart",2,30,3,3,2,1,3,1,1,1,2,2,4,1,1,1,2,3,1,1,1,2
"230","Cart",2,31,4,4,1,2,2,2,1,1,2,2,3,1,1,2,1,1,2,1,1,1
"231","Cart",2,32,3,4,1,1,3,1,1,4,1,4,3,1,1,1,3,3,1,1,3,4
"232","Cart",2,33,4,3,1,1,4,1,1,3,1,4,1,1,1,1,4,3,1,1,1,3
"233","Cart",2,34,4,4,1,1,4,1,1,2,1,4,3,1,1,1,4,4,1,1,4,4
"234","Cart",2,35,2,3,2,1,2,1,1,2,2,3,4,1,2,2,2,2,2,2,2,2
"235","Cart",2,36,3,3,1,3,1,1,1,2,1,2,3,1,1,1,2,3,1,1,2,2
"236","Cart",2,37,3,2,1,1,2,1,1,1,2,2,2,1,1,1,3,2,1,1,1,2
"237","Cart",2,38,3,4,1,1,3,1,1,2,2,3,3,1,1,1,3,3,1,1,2,3
"238","Cart",2,39,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2
"239","Cart",2,40,4,4,1,1,4,1,2,4,1,4,4,1,1,1,4,4,1,1,2,4
"240","Cart",2,41,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"241","Cart",2,42,2,3,1,NA,1,1,1,2,1,2,4,1,1,1,3,3,1,1,3,3
"242","Cart",2,43,2,2,2,1,2,2,3,1,2,2,4,2,2,3,2,2,2,1,1,2
"243","Cart",2,44,4,3,1,1,2,1,1,2,2,2,2,1,1,1,3,1,1,1,1,1
"244","Cart",2,45,4,4,1,1,4,1,1,1,1,3,3,1,1,1,1,4,1,1,3,4
"245","Cart",2,46,2,3,1,1,3,1,1,2,1,3,3,1,1,1,3,3,1,1,1,3
"246","Cart",2,47,4,4,2,1,3,1,1,2,1,3,3,1,1,1,1,4,1,1,1,3
"247","Cart",2,48,2,4,3,1,2,2,1,2,3,1,3,2,1,3,2,2,1,1,1,3
"248","Cart",2,49,3,3,2,1,3,1,1,3,1,2,3,1,1,1,3,3,1,1,2,2
"249","Cart",2,50,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2
"250","Cart",2,51,4,3,1,1,2,1,1,1,1,2,2,1,1,1,3,2,2,1,1,1
"251","Cart",2,52,2,3,3,1,1,3,2,1,3,1,4,3,4,4,1,1,2,2,1,2
"252","Cart",2,53,3,3,1,1,3,1,1,2,1,3,3,1,1,1,4,3,1,1,1,3
"253","Cart",2,54,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"254","Cart",2,55,4,2,1,1,4,1,1,1,2,4,2,1,1,1,4,1,1,1,1,1
"255","Cart",2,56,3,3,1,3,2,2,3,1,2,3,2,2,2,2,2,2,3,1,2,3
"256","Cart",2,57,1,1,2,2,2,1,2,1,2,2,3,1,1,2,1,1,1,1,2,3
"257","Cart",2,58,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2
"258","Cart",2,59,2,2,3,1,2,1,1,2,3,1,2,3,3,2,1,2,2,2,2,2
"259","Cart",2,60,2,2,1,2,2,1,3,1,1,2,2,1,1,1,2,3,3,1,1,2
"260","Cart",2,61,2,1,2,3,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1
"261","Cart",2,62,3,3,3,1,3,1,1,1,1,1,3,1,1,1,4,1,1,1,1,2
"262","Cart",2,63,4,4,1,1,1,1,1,3,1,4,4,1,1,1,4,4,1,1,3,4
"263","CITY",1,1,4,4,1,1,4,1,1,4,1,3,4,1,2,2,2,3,1,1,2,3
"264","CITY",1,2,4,3,1,1,4,1,1,1,1,2,2,1,1,1,4,3,1,1,1,3
"265","CITY",1,3,4,4,2,1,3,1,1,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","CITY",1,4,4,3,1,2,4,2,2,3,1,3,3,1,1,1,3,2,2,1,1,3
"267","CITY",1,5,3,3,1,1,3,1,1,2,1,2,3,1,2,1,2,3,1,2,NA,3
"268","CITY",1,6,4,4,1,2,4,2,2,3,1,4,4,1,2,1,4,4,1,1,3,4
"269","CITY",1,7,1,1,2,1,2,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","CITY",1,8,3,4,1,1,4,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
