"","id","time","study","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57"
"11",127,1,"MAPS",1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,2
"12",51,1,"MAPS",2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,2,2
"13",26,1,"MAPS",1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,NA,2,1,2,1,NA,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2
"14",105,1,"MAPS",1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,2
"15",151,1,"MAPS",2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2
"16",94,1,"MAPS",2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,2
"17",136,1,"MAPS",1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",79,1,"MAPS",1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2
"19",102,1,"MAPS",1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2
"20",61,1,"MAPS",2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,1,2
"21",63,1,"MAPS",1,2,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,2
"22",134,1,"MAPS",2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1
"23",89,1,"MAPS",2,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1
"24",86,1,"MAPS",2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2
"25",31,1,"MAPS",2,2,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,2,NA,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,2
"26",122,1,"MAPS",2,1,1,2,2,2,1,1,1,2,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,1,2
"27",158,1,"MAPS",2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2
"28",132,1,"MAPS",2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2
"29",74,1,"MAPS",2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2
"30",125,1,"MAPS",1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,NA,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2
"31",34,1,"MAPS",1,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,1,2,1,1,2,2
"32",12,1,"MAPS",1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2
"33",129,1,"MAPS",1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2
"34",142,1,"MAPS",1,2,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2
"35",119,1,"MAPS",1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,1,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,1,2,2
"36",39,1,"MAPS",1,1,1,2,1,2,1,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2
"37",109,1,"MAPS",1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2
"38",115,1,"MAPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",123,1,"MAPS",2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,1,NA,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2
"40",104,1,"MAPS",1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2
"41",156,1,"MAPS",1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2
"42",116,1,"MAPS",1,1,1,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,1,2,2,1,2
"43",19,1,"MAPS",1,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1
"44",28,1,"MAPS",1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2
"45",140,1,"MAPS",1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2
"46",124,1,"MAPS",1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2
"47",15,1,"MAPS",2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,2
"48",130,1,"MAPS",1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,2,2
"49",111,1,"MAPS",1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2
"50",93,1,"MAPS",1,1,2,1,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1
"51",17,1,"MAPS",1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1
"52",92,1,"MAPS",2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2
"53",143,1,"MAPS",1,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,2
"54",80,1,"MAPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",135,1,"MAPS",2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,1,2,1,2
"56",103,1,"MAPS",1,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,2
"57",50,1,"MAPS",1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2
"58",18,1,"MAPS",1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,2,2
"59",24,1,"MAPS",2,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,1,1
"60",56,1,"MAPS",1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2
"61",5,1,"MAPS",2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,2
"62",139,1,"MAPS",2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2
"63",32,1,"MAPS",1,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2
"64",42,1,"MAPS",1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
"65",77,1,"MAPS",1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,1
"66",33,1,"MAPS",2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,2,2,2
"67",8,1,"MAPS",1,2,1,1,2,2,2,1,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1
"68",35,1,"MAPS",1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2
"69",152,1,"MAPS",1,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,2,1,2
"70",55,1,"MAPS",1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,2,1
"71",16,1,"MAPS",2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2
"72",108,1,"MAPS",2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2
"73",6,1,"MAPS",1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,1
"74",84,1,"MAPS",1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1
"75",145,1,"MAPS",1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",88,1,"MAPS",1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,2
"77",27,1,"MAPS",1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2
"78",144,1,"MAPS",1,1,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
"79",23,1,"MAPS",1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1
"80",1,1,"MAPS",1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2
"81",114,1,"MAPS",2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2
"82",21,1,"MAPS",1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,1,2
"83",128,1,"MAPS",1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,2
"84",83,1,"MAPS",1,2,1,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2
"85",44,1,"MAPS",1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,NA,1,1,2,1,1,2,1,2,1,2,2,2
"86",60,1,"MAPS",1,1,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1
"87",54,1,"MAPS",1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,2
"88",69,1,"MAPS",1,1,2,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2
"89",7,1,"MAPS",1,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,2
"90",58,1,"MAPS",2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2
"91",150,1,"MAPS",2,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"92",110,1,"MAPS",1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2
"93",40,1,"MAPS",1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1
"94",43,1,"MAPS",1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2
"95",91,1,"MAPS",2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1
"96",4,1,"MAPS",1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,2,2
"97",107,1,"MAPS",1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2
"98",41,1,"MAPS",2,2,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,NA,1,1,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2
"99",117,1,"MAPS",1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,2
"100",95,1,"MAPS",2,1,NA,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,2,1,2
"101",2,1,"MAPS",1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,1,1,2,1,2
"102",106,1,"MAPS",1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2
"103",45,1,"MAPS",2,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,2
"104",65,1,"MAPS",2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,2
"105",10,1,"MAPS",2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,NA,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2
