"","study","time","id","pleasant","nervous","not.satisfied","wish.happy","failure","rested","calm","difficulties","worry","happy","disturbing.thoughts","lack.self.confidence","secure","decisive","inadequate","content","thoughts.bother","disappointments","steady","tension"
"37","AGES","1",37,3,2,1,2,3,3,3,2,2,3,2,2,2,3,1,3,2,2,3,2
"38","AGES","1",38,2,4,2,1,2,1,2,2,4,3,2,2,2,2,1,3,4,2,2,4
"39","AGES","1",39,3,2,1,2,1,3,3,2,2,3,1,1,4,1,1,3,2,1,3,2
"40","AGES","1",40,4,1,2,1,1,2,3,2,1,4,2,1,4,3,2,4,2,2,4,1
"41","AGES","1",41,3,2,1,1,1,2,3,2,1,4,2,1,3,3,2,3,2,2,3,1
"42","AGES","1",42,2,2,2,3,3,2,2,2,3,3,2,2,2,1,2,2,4,2,2,1
"43","AGES","1",43,3,2,1,2,1,3,3,1,2,4,2,2,3,3,2,3,2,2,3,2
"44","AGES","1",44,3,1,1,1,2,3,3,2,2,3,1,2,3,2,1,2,2,1,2,2
"45","AGES","1",45,3,2,1,1,1,3,3,2,2,3,2,2,3,2,1,3,2,1,3,1
"46","AGES","1",46,2,3,1,2,3,2,3,2,4,3,3,2,2,2,2,2,3,2,3,2
"47","AGES","1",47,3,2,1,1,1,2,3,1,1,4,2,1,3,3,1,4,1,1,4,1
"48","AGES","1",48,2,1,2,3,1,2,3,2,2,2,2,1,2,2,1,2,1,2,3,2
"49","AGES","1",49,4,2,1,1,2,4,4,1,1,4,1,1,4,2,1,3,2,1,3,2
"50","AGES","1",50,3,2,2,2,2,2,3,1,2,3,2,1,3,2,2,3,2,2,4,2
"51","AGES","1",51,3,3,2,2,2,3,3,1,2,3,2,1,4,4,1,3,1,1,4,1
"52","AGES","1",52,4,1,1,1,1,3,3,1,1,4,2,2,3,2,1,4,1,1,4,1
"53","AGES","1",53,3,2,2,2,1,1,3,2,2,3,4,1,3,3,2,3,1,2,2,2
"54","AGES","1",54,3,3,2,2,1,2,2,2,2,3,2,2,3,1,1,3,3,1,2,3
"55","AGES","1",55,2,2,1,1,3,1,1,1,1,2,2,1,1,1,2,2,1,1,1,3
"56","AGES","1",56,4,2,2,1,1,2,3,2,1,4,2,1,4,2,2,4,1,2,4,2
"57","AGES","1",57,4,3,2,2,1,2,2,2,3,4,2,1,4,3,2,4,3,2,4,2
"58","AGES","1",58,3,1,1,1,1,3,2,1,1,3,1,1,3,2,1,3,1,1,3,1
"59","AGES","1",59,3,3,1,1,1,3,2,2,2,3,3,1,2,2,2,3,1,2,3,2
"60","AGES","1",60,4,2,1,2,1,2,4,1,2,4,1,1,4,2,2,4,3,1,3,2
"61","AGES","1",61,3,2,1,2,2,3,3,2,2,4,3,2,4,3,2,4,2,2,3,2
"62","AGES","1",62,2,2,1,3,1,2,2,1,1,3,1,3,2,2,2,3,2,2,3,1
"63","AGES","1",63,4,2,2,1,1,2,3,2,2,4,1,1,4,4,1,4,2,1,4,1
"64","AGES","1",64,4,2,2,2,2,2,3,2,2,4,1,1,4,3,2,4,2,1,4,2
"65","AGES","1",66,4,3,2,1,1,2,4,2,2,4,2,1,4,2,1,4,2,1,3,1
"66","AGES","1",67,4,2,1,2,3,2,4,2,3,3,1,2,2,3,1,3,1,1,4,1
"67","AGES","1",68,3,2,1,2,3,3,2,2,2,4,2,2,3,3,1,3,2,2,4,2
"68","AGES","1",69,4,1,1,1,1,4,3,1,1,4,2,1,4,3,1,3,1,2,4,2
"69","CART","1",1,2,2,2,3,1,3,3,2,3,2,3,2,2,3,2,2,2,1,2,2
"70","CART","1",2,4,2,2,1,2,3,4,2,1,4,1,1,4,1,1,4,2,1,4,1
"71","CART","1",3,NA,2,1,2,3,2,2,1,4,3,3,4,3,2,1,2,3,1,3,1
"72","CART","1",4,3,2,2,3,3,2,3,1,1,3,2,3,3,2,2,3,2,1,3,2
"73","CART","1",5,2,3,1,2,1,1,4,1,1,2,2,2,2,2,2,2,1,1,2,2
"74","CART","1",6,3,2,1,2,1,1,3,3,3,4,2,1,4,3,1,3,1,1,3,1
"75","CART","1",7,2,2,1,3,3,3,3,2,3,2,1,3,3,3,2,3,2,2,2,2
"76","CART","1",8,3,2,2,1,2,2,3,1,3,4,3,2,3,2,2,3,1,1,2,2
"77","CART","1",9,3,3,1,2,1,2,2,3,3,3,2,2,3,3,2,3,2,1,2,2
"78","CART","1",10,4,3,1,3,1,2,3,1,2,4,2,1,3,2,1,3,2,2,3,2
"79","CART","1",11,3,2,2,1,1,3,3,1,1,4,2,1,3,2,2,4,3,1,2,1
"80","CART","1",12,2,3,2,3,3,1,4,1,2,3,3,2,2,3,2,2,2,2,2,1
"81","CART","1",13,2,2,3,2,2,2,1,3,3,2,4,4,2,3,2,2,2,4,2,4
"82","CART","1",14,3,2,1,1,1,2,3,2,3,4,2,1,4,2,2,4,2,2,4,2
"83","CART","1",15,2,2,2,2,2,2,2,2,1,2,3,2,2,3,2,2,2,2,2,2
"84","CART","1",16,2,2,1,3,1,1,1,2,3,2,3,3,3,1,2,3,4,4,2,2
"85","CART","1",17,4,2,1,2,1,2,3,2,2,3,2,2,4,2,2,4,1,1,4,2
"86","CART","1",18,2,3,2,3,3,2,2,3,3,2,3,2,2,3,3,2,2,2,3,3
"87","CART","1",19,3,3,1,3,1,2,2,2,3,3,3,2,4,1,2,2,2,3,4,2
"88","CART","1",20,3,4,1,3,2,2,2,3,3,3,3,4,2,4,1,3,3,3,2,1
"89","CART","1",21,4,2,1,2,2,3,3,1,3,4,2,2,3,3,2,4,3,2,4,1
"90","CART","1",22,3,2,2,1,2,4,3,2,1,3,3,1,3,4,2,3,3,3,4,4
"91","CART","1",23,3,2,2,2,1,2,2,2,1,3,1,3,2,2,2,3,2,1,3,3
"92","CART","1",24,3,3,2,2,2,2,3,3,2,3,3,3,2,3,2,2,3,2,2,2
"93","CART","1",25,3,2,1,2,2,3,2,2,2,3,2,1,4,3,1,3,2,2,4,2
"94","CART","1",26,3,1,1,2,1,2,2,2,2,3,2,1,2,1,1,3,2,1,2,1
"95","CART","1",27,2,2,1,2,3,2,2,2,2,2,2,3,2,2,1,3,2,2,2,2
"96","CART","1",28,4,2,1,2,1,2,3,2,3,3,3,2,3,2,2,3,3,2,3,2
"97","CART","1",29,4,2,1,1,1,2,4,1,2,4,4,1,4,1,2,4,2,1,4,2
"98","CART","1",30,3,4,2,2,1,2,2,2,3,3,2,1,3,4,2,3,3,2,3,4
"99","CART","1",31,3,2,1,2,2,2,2,2,1,3,2,1,3,3,2,3,2,2,3,1
"100","CART","1",32,4,2,2,2,3,3,3,2,2,3,2,1,4,2,2,3,2,1,3,1
"101","CART","1",33,4,2,1,2,2,3,3,3,3,3,2,2,3,2,2,4,2,1,4,1
"102","CART","1",34,4,2,1,1,1,2,4,2,2,4,1,2,4,2,2,4,2,1,4,1
"103","CART","1",35,4,2,1,1,1,3,4,1,1,4,2,1,4,2,1,4,2,1,4,1
"104","CART","1",36,4,2,1,1,1,2,3,1,2,4,1,1,4,1,1,4,2,1,3,1
"105","CART","1",37,3,2,1,2,2,2,2,2,1,3,2,2,3,1,1,2,1,2,3,1
"106","CART","1",38,3,2,1,1,1,3,4,2,2,3,2,1,4,2,2,3,2,2,3,1
"107","CART","1",39,3,3,1,3,2,2,3,2,2,3,3,2,2,3,2,2,2,2,3,2
"108","CART","1",40,4,2,1,2,1,4,4,2,1,4,1,1,4,2,1,4,2,2,4,4
"109","CART","1",41,3,2,2,2,1,3,3,1,1,3,2,3,2,3,1,3,1,1,4,1
"110","CART","1",42,3,2,1,1,1,2,3,1,2,4,1,1,4,2,1,4,2,1,4,1
"111","CART","1",43,3,2,1,2,2,2,2,2,3,3,3,2,2,3,2,3,2,3,2,3
"112","CART","1",44,4,2,2,3,1,3,4,2,2,3,2,1,3,3,2,4,1,2,3,2
"113","CART","1",45,2,1,2,2,2,2,3,2,2,2,2,2,3,4,2,3,2,1,3,2
"114","CART","1",46,3,2,2,1,1,3,4,2,1,3,1,1,4,2,1,3,2,1,3,1
"115","CART","1",47,4,2,1,1,1,2,4,1,1,4,1,1,4,1,2,4,1,1,4,1
"116","CART","1",48,2,3,2,4,3,1,1,3,4,2,4,1,2,3,2,3,4,4,3,2
"117","CART","1",49,4,3,1,1,1,3,3,2,1,3,1,1,3,4,1,3,1,1,3,1
"118","CART","1",50,3,3,2,2,1,2,3,2,1,3,1,2,2,2,2,3,2,2,3,1
"119","CART","1",51,3,2,2,2,1,2,3,1,3,2,1,3,3,3,2,3,3,1,2,3
"120","CART","1",52,4,2,1,1,1,2,3,2,2,4,2,1,4,2,1,4,2,2,4,2
"121","CART","1",53,3,2,1,1,2,2,2,2,1,3,2,2,3,2,1,3,1,1,3,1
"122","CART","1",54,4,2,2,1,2,2,2,2,1,4,2,2,3,2,2,4,4,1,4,1
"123","CART","1",55,3,2,2,2,1,3,1,1,1,4,2,3,2,4,2,1,1,2,3,1
"124","CART","1",56,4,3,3,2,2,1,2,2,4,3,3,2,2,3,3,3,3,2,3,2
"125","CART","1",57,2,2,1,3,2,2,2,1,2,2,2,1,3,3,1,3,2,2,2,2
"126","CART","1",58,3,1,1,2,1,2,3,1,3,3,3,1,3,1,1,2,3,3,2,3
"127","CART","1",59,2,2,1,2,1,2,3,2,2,3,2,1,2,2,2,3,2,1,2,2
"128","CART","1",60,3,2,2,1,2,2,2,2,3,3,4,2,2,2,2,3,3,3,2,2
"129","CART","1",61,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,3
"130","CART","1",62,3,2,1,2,1,3,4,2,1,4,2,1,4,2,1,1,2,2,4,2
"131","CART","1",63,4,2,1,1,1,3,4,1,1,4,1,1,4,3,1,4,1,1,4,1
"132","CITY","1",1,3,1,2,1,1,3,4,1,2,3,2,2,3,2,2,3,2,1,3,1
"133","CITY","1",2,4,4,2,3,1,1,3,2,2,3,1,2,3,1,2,4,2,1,4,3
"134","CITY","1",3,3,2,1,2,1,2,3,3,2,3,2,2,3,2,2,3,2,3,3,3
"135","CITY","1",4,3,2,2,2,1,3,4,2,2,3,1,2,4,3,1,3,2,1,4,1
"136","CITY","1",5,3,2,2,1,1,3,3,2,1,3,2,2,3,2,1,4,1,1,4,1
"137","CITY","1",6,4,1,2,1,1,4,4,1,1,4,2,1,4,2,1,4,1,2,4,1
"138","CITY","1",7,2,2,2,3,2,1,2,2,3,2,3,4,1,3,2,1,3,3,2,2
"139","CITY","1",8,4,2,2,1,3,2,4,3,2,4,2,1,4,3,1,4,1,3,3,1
"140","CITY","1",9,2,2,1,2,1,2,3,3,3,3,3,1,3,2,2,3,1,2,3,2
"141","CITY","1",10,3,2,2,2,1,2,2,1,2,3,2,2,3,1,2,3,2,1,2,2
"142","CITY","1",11,3,3,2,2,2,1,3,2,3,3,3,2,2,2,2,3,2,3,3,2
"143","CITY","1",12,4,2,2,1,1,2,2,1,3,4,2,1,4,1,1,4,2,1,3,3
"144","CITY","1",13,4,2,1,2,2,4,3,1,2,3,1,2,4,2,2,4,2,1,3,2
"145","CITY","1",14,3,2,1,1,1,2,2,2,2,3,2,2,2,2,1,3,1,2,3,2
"146","CITY","1",15,2,2,1,2,2,2,3,2,1,3,2,2,2,3,2,3,2,1,3,2
"147","CITY","1",16,2,3,1,4,2,3,4,4,4,1,3,2,2,4,4,2,4,2,3,4
"148","CITY","1",17,3,1,2,2,2,2,3,2,3,3,4,2,3,3,2,3,3,2,4,2
"149","CITY","1",18,4,1,1,1,1,3,4,1,2,4,1,1,4,2,1,4,2,1,4,1
"150","CITY","1",19,4,2,2,2,1,3,4,1,2,4,2,2,3,2,2,4,2,2,4,2
"151","CITY","1",20,3,1,2,2,3,2,2,3,2,3,2,4,2,3,2,2,2,1,2,2
"152","CITY","1",21,4,2,1,1,1,3,3,1,1,4,1,1,4,2,1,3,2,1,3,2
"153","CITY","1",22,3,2,1,2,3,2,4,1,2,3,1,3,2,1,3,2,1,2,4,1
"154","CITY","1",23,4,2,2,2,1,2,3,1,1,4,2,2,3,3,2,3,1,1,3,1
"155","CITY","1",24,3,2,1,1,1,2,3,1,1,3,2,2,3,2,2,4,2,2,3,1
"156","CITY","1",25,3,2,2,2,2,2,3,2,2,3,2,2,3,1,2,3,2,2,3,1
"157","CITY","1",26,3,2,1,2,1,2,3,1,1,3,2,2,3,2,2,3,2,1,3,2
"158","CITY","1",27,2,1,4,4,2,2,1,4,2,1,3,4,1,3,4,1,2,3,2,3
"159","CITY","1",28,4,2,2,1,2,3,4,1,2,4,2,2,4,3,1,4,2,2,4,2
"160","CITY","1",29,4,2,1,3,2,2,3,2,1,4,1,1,4,2,1,4,1,3,3,1
"161","CITY","1",30,3,2,1,2,2,3,3,1,2,3,2,2,3,2,2,3,2,2,3,2
"162","CITY","1",31,2,3,3,2,1,2,2,2,3,2,4,4,2,1,2,2,3,3,1,2
"163","CITY","1",32,3,4,1,2,4,1,3,4,4,3,2,2,3,4,2,3,4,2,3,4
"164","CITY","1",33,3,2,2,2,2,3,3,2,2,3,2,2,3,2,2,3,2,1,3,2
"165","CITY","1",34,4,2,1,1,1,3,2,2,4,4,3,1,4,2,1,4,4,3,4,3
"166","CITY","1",35,4,3,1,2,1,2,3,1,2,4,2,2,3,2,2,4,2,2,3,1
"167","CITY","1",36,2,3,3,4,2,1,1,3,1,2,3,4,1,3,3,2,3,3,2,3
"168","CITY","1",37,3,2,1,3,1,2,3,2,3,3,2,1,3,2,2,2,2,2,3,4
"169","CITY","1",38,3,2,1,2,2,1,4,2,2,3,3,1,2,2,2,3,2,1,4,2
"170","CITY","1",39,3,3,1,1,1,3,4,2,1,4,1,2,4,2,2,4,1,1,4,1
"171","CITY","1",40,4,1,2,1,2,2,4,2,2,4,2,2,3,2,2,3,2,2,3,1
"172","CITY","1",41,3,2,1,2,1,3,3,2,1,3,1,1,4,3,2,3,2,1,4,1
"173","CITY","1",42,4,2,1,2,1,3,4,1,1,2,2,1,4,2,1,4,1,1,4,1
"174","CITY","1",43,4,2,1,2,2,3,4,2,2,4,1,2,3,2,2,4,1,1,3,2
"175","CITY","1",44,3,2,1,1,1,3,3,2,1,3,2,1,3,2,2,3,2,1,3,2
"176","CITY","1",45,3,1,1,2,3,1,3,2,2,4,1,2,3,2,1,4,2,2,4,2
"177","CITY","1",46,3,2,2,2,1,3,3,1,3,4,2,1,4,2,2,3,3,1,3,1
"178","CITY","1",47,4,1,2,1,1,3,3,1,2,4,2,1,4,1,1,3,1,2,3,1
"179","CITY","1",48,3,2,2,2,1,2,4,2,2,3,4,2,3,2,2,3,2,2,4,1
"180","CITY","1",49,4,1,1,1,2,1,2,2,2,4,2,2,1,3,1,1,2,2,3,3
"181","CITY","1",50,3,2,2,1,1,3,2,2,3,4,3,3,2,2,2,4,3,2,3,3
"182","CITY","1",51,4,3,1,1,1,2,4,1,2,4,3,1,4,1,2,3,2,2,4,1
"183","CITY","1",52,3,2,1,1,1,3,2,2,2,3,2,1,4,1,1,3,2,2,4,1
"184","CITY","1",53,3,2,1,1,1,3,3,1,3,3,2,1,4,2,1,3,2,1,4,2
"185","CITY","1",54,2,3,2,2,2,2,2,3,4,2,3,3,2,2,3,3,4,4,2,3
"186","CITY","1",55,3,1,1,2,1,2,3,2,2,3,2,1,3,2,2,3,2,1,3,1
"187","CITY","1",56,3,2,1,1,1,2,2,1,2,3,2,2,2,2,1,4,2,1,3,1
"188","CITY","1",57,4,3,2,1,2,2,3,1,2,4,1,1,4,1,2,4,2,2,4,2
"189","CITY","1",58,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,3,2,2,3,2
"190","CITY","1",59,4,2,2,1,1,2,4,2,2,4,1,1,4,2,1,4,2,2,4,1
"191","CITY","1",60,3,1,2,4,1,3,4,1,2,2,3,3,2,2,2,4,2,2,4,2
"192","CITY","1",61,3,2,2,3,2,2,2,1,3,3,2,2,3,3,2,3,2,2,3,2
"193","CITY","1",62,4,2,2,2,2,3,2,2,2,3,3,2,4,3,2,4,2,2,3,2
"194","CITY","1",63,3,1,1,1,1,2,3,3,1,3,3,1,4,2,2,2,2,2,3,2
"195","CITY","1",64,3,2,1,1,1,3,3,2,2,4,3,2,3,4,2,4,2,2,3,1
"196","CITY","1",65,3,3,1,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2
"197","CITY","1",66,4,3,1,2,2,2,4,2,2,4,2,2,3,1,2,4,2,2,4,1
"198","CITY","1",67,4,2,1,1,1,2,3,1,2,4,1,1,4,2,1,4,2,1,3,1
"199","CITY","1",68,3,2,1,2,2,2,3,3,3,3,3,1,4,2,1,3,2,2,4,2
"200","CITY","1",69,4,1,1,1,1,4,4,1,2,4,2,1,4,3,2,4,1,1,4,1
"201","CITY","1",70,3,2,1,1,1,1,1,2,3,3,2,2,2,2,2,3,2,2,3,2
"202","CITY","1",71,3,1,2,2,1,3,4,2,4,3,4,2,2,4,2,3,4,4,4,3
"203","CITY","1",72,4,2,2,2,2,3,4,2,2,3,2,1,4,1,2,4,1,2,4,2
"204","CITY","1",73,4,2,1,2,2,3,4,1,1,4,1,1,4,2,2,4,1,1,4,1
"205","CITY","1",74,3,1,1,2,1,2,4,3,1,3,1,1,3,2,1,3,1,1,3,1
"206","CITY","1",75,3,4,1,4,1,1,2,3,4,3,4,2,3,4,2,3,3,4,3,4
"207","CITY","1",76,3,2,1,1,1,3,3,2,2,4,2,1,4,2,1,2,1,1,4,2
"208","CITY","1",77,3,3,2,2,2,2,2,2,2,3,1,2,2,3,1,3,2,1,3,2
"209","CITY","1",78,3,2,2,2,1,2,3,1,2,3,1,1,3,1,2,3,2,1,3,1
"210","CITY","1",79,4,2,2,1,1,3,3,2,1,4,2,NA,4,4,2,4,2,1,4,3
"211","CITY","1",80,3,3,1,2,2,2,3,3,1,3,2,2,3,2,2,3,3,2,3,3
"212","CITY","1",81,3,2,2,1,1,3,4,1,1,3,1,1,4,1,1,4,2,1,3,1
"213","CITY","1",82,3,2,1,2,2,2,3,2,3,3,1,2,3,2,2,3,2,2,3,2
"214","CITY","1",83,3,2,2,2,1,3,3,2,2,4,2,1,3,2,2,3,2,2,3,2
"215","CITY","1",84,3,2,1,1,1,3,3,2,2,3,2,2,4,2,3,3,2,1,3,2
"216","CITY","1",85,4,1,1,2,2,3,4,2,2,4,3,2,3,1,1,3,2,2,4,2
"217","CITY","1",86,3,2,2,2,1,3,3,2,2,3,2,2,3,2,2,3,2,2,4,2
"218","CITY","1",87,2,2,2,1,2,2,3,3,3,3,3,2,4,2,2,2,1,2,2,3
"219","CITY","1",88,3,2,3,1,2,2,3,NA,3,3,3,2,3,2,2,3,2,2,3,2
"220","CITY","1",89,4,2,1,1,1,4,4,1,1,4,1,2,4,2,1,4,1,1,4,1
"221","CITY","1",90,2,2,1,2,1,2,2,2,2,3,1,1,3,3,1,3,3,1,2,3
"222","CITY","1",91,3,1,1,1,1,3,3,1,1,4,2,1,3,1,2,3,1,1,3,1
"223","CITY","1",92,3,2,2,1,1,3,3,1,2,3,1,2,3,2,2,3,1,1,3,1
"224","CITY","1",93,2,3,2,3,3,1,1,4,3,2,3,4,2,2,2,2,2,2,2,3
"225","CITY","1",94,3,2,2,2,1,3,2,3,2,3,3,2,2,3,2,3,2,1,2,2
"226","CITY","1",95,4,3,2,2,1,1,3,3,3,4,2,2,3,3,2,4,2,2,4,1
"227","CITY","1",96,3,3,2,4,3,1,2,4,3,3,3,2,2,3,2,4,2,3,2,3
"228","CITY","1",97,3,2,2,2,1,2,2,2,2,3,3,2,2,1,2,2,2,2,3,2
"229","CITY","1",98,3,2,2,2,1,2,2,4,2,3,4,2,3,3,2,2,4,3,3,4
"230","CITY","1",99,4,3,1,2,1,2,2,2,2,3,2,1,3,3,2,4,2,1,2,1
"231","CITY","1",100,2,2,2,2,1,2,2,2,1,3,1,1,3,2,2,2,2,1,3,2
"232","CITY","1",101,3,1,1,2,1,4,4,1,1,4,1,2,3,2,1,4,1,1,3,1
"233","CITY","1",102,3,1,2,1,2,2,3,2,2,4,1,1,3,2,2,4,2,2,3,2
"234","CITY","1",103,3,2,1,1,1,2,2,2,3,3,1,1,4,4,2,3,2,1,4,2
"235","CITY","1",104,4,2,1,2,2,1,3,2,3,4,2,2,3,1,2,4,2,1,3,2
"236","CITY","1",105,2,3,1,2,1,1,2,1,3,3,2,1,4,1,2,NA,3,4,2,1
"237","CITY","1",106,3,2,2,2,4,3,3,1,2,3,2,2,2,3,1,3,2,1,3,2
"238","CITY","1",107,4,2,2,2,1,3,3,2,3,4,3,1,4,2,1,4,2,1,4,2
"239","CITY","1",108,3,1,2,2,1,3,4,2,2,4,2,2,3,2,2,3,2,1,3,3
"240","CITY","1",109,3,2,1,1,1,2,4,2,1,3,1,1,3,2,1,3,1,1,3,2
"241","CITY","1",110,3,3,2,2,2,2,4,2,3,3,2,2,3,3,1,3,2,2,4,2
"242","CITY","1",111,3,2,2,1,1,3,4,1,1,4,2,1,4,2,1,4,1,1,4,1
"243","CITY","1",112,3,2,1,2,2,3,3,2,3,3,2,2,3,2,2,3,2,2,3,2
"244","CITY","1",113,2,2,1,3,1,1,2,2,2,2,2,2,1,2,2,2,3,1,2,3
"245","CITY","1",114,3,1,2,1,1,3,3,1,3,4,3,1,3,2,2,4,3,3,3,1
"246","CITY","1",115,3,2,1,2,1,3,4,1,2,3,1,2,3,2,1,3,2,2,3,2
"247","CITY","1",116,3,2,2,2,1,1,2,3,4,3,2,2,2,2,2,3,4,3,2,3
"248","CITY","1",117,2,3,2,3,2,1,2,3,2,2,3,3,2,2,3,2,3,3,2,4
"249","CITY","1",118,4,2,2,2,1,3,4,2,2,3,3,2,4,2,1,4,2,2,4,1
"250","CITY","1",119,3,2,2,2,1,3,4,2,3,4,1,2,3,1,2,4,2,1,4,2
"251","CITY","1",120,2,3,2,2,1,2,2,2,3,2,3,2,2,4,2,2,2,2,2,2
"252","CITY","1",121,3,2,2,2,1,3,2,2,2,3,2,1,3,3,2,4,3,2,3,3
"253","CITY","1",122,3,3,2,1,1,2,2,2,2,3,2,2,2,1,1,3,2,2,2,2
"254","CITY","1",123,3,2,1,1,2,3,3,2,1,3,2,2,3,2,1,3,2,2,4,2
"255","CITY","1",124,4,2,1,1,1,4,4,2,2,4,2,1,4,2,1,4,2,1,4,1
"256","CITY","1",125,4,1,1,1,1,3,3,2,2,3,2,1,4,2,1,3,1,2,1,1
"257","CITY","1",126,3,1,1,2,2,2,3,1,1,3,3,2,3,4,2,3,2,2,3,2
"258","CITY","1",127,4,2,2,1,1,2,3,2,2,4,3,2,4,2,2,3,1,1,3,1
"259","CITY","1",128,3,4,2,3,2,1,2,3,3,3,3,2,3,3,2,3,3,2,4,2
"260","CITY","1",129,2,3,2,4,2,1,3,2,2,1,2,3,1,2,4,1,2,1,3,2
"261","CITY","1",130,3,2,1,3,3,2,2,3,2,3,3,1,3,1,1,3,2,2,2,3
"262","CITY","1",131,2,1,2,2,1,2,3,1,1,2,1,1,3,2,2,2,1,1,4,1
"263","CITY","1",132,4,1,1,1,2,2,3,2,2,4,3,1,4,1,1,3,3,3,2,1
"264","CITY","1",133,3,2,1,2,1,2,3,1,2,3,2,3,2,2,1,2,1,3,2,1
"265","CITY","1",134,3,1,2,3,2,3,3,3,2,3,3,2,2,3,2,2,1,2,3,2
"266","CITY","1",135,4,2,1,1,2,3,3,1,3,4,3,1,3,1,1,3,2,2,3,2
"267","CITY","1",136,3,2,2,1,1,3,3,2,3,4,2,2,3,2,1,3,2,1,4,1
"268","CITY","1",137,2,3,2,4,3,2,2,3,3,2,3,3,2,3,2,2,3,3,2,3
"269","CITY","1",138,4,2,1,1,1,3,4,1,1,3,1,1,4,2,1,3,1,1,4,1
"270","CITY","1",139,2,4,1,4,2,1,3,4,4,1,2,2,2,2,4,2,2,2,2,2
"271","CITY","1",140,2,3,2,2,1,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2
