"","active","afraid","alert","angry","aroused","ashamed","astonished","at.ease","at.rest","attentive","blue","bored","calm","clutched.up","confident","content","delighted","depressed","determined","distressed","drowsy","dull","elated","energetic","enthusiastic","excited","fearful","frustrated","full.of.pep","gloomy","grouchy","guilty","happy","hostile","inspired","intense","interested","irritable","jittery","lively","lonely","nervous","placid","pleased","proud","quiescent","quiet","relaxed","sad","satisfied","scared","serene","sleepy","sluggish","sociable","sorry","still","strong","surprised","tense","tired","unhappy","upset","vigorous","wakeful","warmhearted","wide.awake","anxious","cheerful","idle","inactive","tranquil","alone","kindly","scornful","Extraversion","Neuroticism","Lie","Sociability","Impulsivity","gender","TOD","drug","film","time","id","form","study"
"12",2,0,2,0,0,0,0,3,2,2,0,1,2,0,3,2,2,0,0,1,1,0,1,1,1,0,0,0,2,0,0,1,2,0,0,0,2,0,1,2,0,0,0,2,2,0,1,2,0,2,0,1,1,1,2,0,1,1,0,0,1,0,0,0,2,2,1,0,1,0,0,1,NA,NA,NA,19,14,0,10,7,2,9,1,NA,1,12,2,"AGES"
"13",1,0,1,0,1,0,0,2,2,1,0,2,2,0,1,1,0,0,1,0,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,1,2,2,2,0,2,0,2,2,2,1,0,2,1,0,0,2,0,0,0,1,2,0,0,2,2,2,2,NA,NA,NA,16,10,4,12,3,1,9,1,NA,1,13,2,"AGES"
"14",1,0,2,0,0,0,0,0,1,2,0,2,0,0,2,0,1,0,2,2,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,2,1,0,2,0,0,1,1,1,0,1,1,0,1,2,0,1,0,2,2,1,1,1,1,1,1,NA,NA,NA,16,13,5,11,4,1,9,2,NA,1,14,2,"AGES"
"15",0,0,1,0,1,0,0,2,3,1,0,0,2,0,3,3,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,NA,NA,NA,7,16,0,2,4,1,9,2,NA,1,15,2,"AGES"
"16",0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,2,0,0,0,0,1,3,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,3,1,NA,NA,NA,4,14,3,2,1,2,9,1,NA,1,16,2,"AGES"
"17",0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,2,0,0,2,3,0,0,1,0,0,3,1,0,0,2,0,0,0,3,0,0,0,1,1,0,0,0,0,3,1,NA,NA,NA,20,8,5,10,7,2,9,2,NA,1,17,2,"AGES"
"18",0,0,1,0,0,0,0,1,0,0,1,2,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,2,0,1,0,0,1,2,1,1,1,0,1,1,1,2,1,2,0,0,1,2,1,0,0,0,0,0,1,0,1,2,1,NA,NA,NA,18,9,2,12,6,2,9,1,NA,1,18,2,"AGES"
"19",0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,11,13.4,0,5,4,1,9,1,NA,1,19,2,"AGES"
"20",1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,2,0,0,0,1,1,2,2,0,0,1,0,0,1,1,0,1,1,2,0,1,1,1,0,2,1,2,2,1,2,1,2,0,1,0,1,2,0,1,2,0,0,1,0,0,0,1,2,1,0,1,0,0,2,NA,NA,NA,16,6,1,11,4,2,9,2,NA,1,20,2,"AGES"
"21",1,0,2,0,0,0,0,1,0,2,0,3,1,1,2,1,1,0,2,0,1,0,0,1,1,1,0,2,1,0,2,0,1,1,0,2,2,1,1,1,0,1,0,0,0,1,2,1,0,1,0,1,1,0,2,0,1,1,0,1,2,0,1,1,2,2,1,1,1,3,0,1,NA,NA,NA,15,12,0,6,7,2,9,2,NA,1,21,2,"AGES"
"22",2,0,1,0,1,0,0,2,1,1,0,3,2,1,2,2,1,0,2,1,1,1,2,1,1,2,0,2,2,1,1,0,1,1,1,1,2,1,1,2,1,0,1,2,2,1,2,2,0,1,0,1,2,1,2,0,1,2,0,1,1,0,0,1,1,2,1,1,1,1,1,1,NA,NA,NA,10,11,1,7,2,1,9,1,NA,1,22,2,"AGES"
"23",0,0,0,0,0,0,0,2,2,1,0,2,1,0,1,1,1,0,0,0,2,2,0,0,0,1,0,2,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,NA,1,1,1,2,0,1,0,1,3,2,1,0,1,0,0,0,3,0,0,0,0,1,0,1,1,1,1,2,NA,NA,NA,14,15,1,9,5,2,9,1,NA,1,23,2,"AGES"
"24",0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,2,2,3,0,0,0,0,0,1,0,2,3,0,0,2,0,2,0,3,0,0,1,2,0,0,0,2,2,1,1,0,0,1,3,3,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,3,3,3,NA,NA,NA,12,10,0,5,6,2,9,2,NA,1,24,2,"AGES"
"25",0,0,1,0,0,0,0,1,1,1,2,3,3,0,0,1,0,2,0,0,3,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,1,1,0,0,3,3,1,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,NA,NA,NA,7,5,3,7,0,2,9,1,NA,1,25,2,"AGES"
"26",0,0,3,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,NA,NA,NA,14,3,3,8,5,2,9,2,NA,1,26,2,"AGES"
"27",0,1,0,0,0,0,0,1,1,0,0,3,1,2,0,0,1,2,1,1,3,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,0,1,1,0,3,0,1,0,1,NA,3,2,1,1,0,0,3,2,1,0,1,0,0,1,3,2,2,0,0,1,0,0,0,2,2,1,NA,NA,NA,13,11,0,7,3,1,9,1,NA,1,27,2,"AGES"
"28",1,0,1,0,1,0,0,2,2,1,0,1,2,0,1,2,2,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,3,0,2,2,0,1,0,2,2,2,2,0,2,1,0,0,1,0,0,1,1,2,0,0,1,2,2,2,NA,NA,NA,16,2,3,11,4,1,9,2,NA,1,28,2,"AGES"
"29",0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,3,0,0,2,0,0,0,3,1,1,0,0,1,0,1,0,2,2,1,NA,NA,NA,18,6,1,11,6,1,9,1,NA,1,29,2,"AGES"
"30",0,1,2,0,1,2,2,2,2,1,0,3,2,1,3,3,2,2,2,1,3,3,2,2,2,2,1,2,1,1,2,1,2,1,2,3,0,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,3,1,2,3,1,2,2,1,1,2,1,1,1,2,2,2,3,0,1,2,NA,NA,NA,17,11,4,10,5,1,9,2,NA,1,30,2,"AGES"
"31",1,0,1,0,0,0,0,1,1,1,0,3,1,0,1,1,0,0,0,2,2,3,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,2,0,2,0,0,0,2,2,0,0,0,1,2,2,2,0,1,0,0,0,2,0,0,0,1,1,1,1,1,0,2,1,NA,NA,NA,12,14,2,5,5,2,9,2,NA,1,31,2,"AGES"
"32",0,0,0,0,0,0,0,2,2,0,0,2,2,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,2,1,0,1,2,2,0,1,0,2,3,3,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,1,3,2,NA,NA,NA,18,4,0,10,7,2,9,1,NA,1,32,2,"AGES"
"33",2,0,1,0,2,0,0,2,1,1,1,2,2,0,2,2,2,1,1,0,1,1,1,1,1,2,0,0,1,0,0,0,2,0,1,2,1,0,1,1,0,0,1,2,1,1,1,2,0,2,0,2,1,2,2,0,2,2,1,0,1,0,0,1,1,2,1,0,1,1,1,1,NA,NA,NA,14,8,1,12,2,1,9,1,NA,1,33,2,"AGES"
"34",0,0,0,0,0,0,0,0,0,1,1,3,2,0,2,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,1,0,0,0,0,0,1,0,3,1,0,1,0,0,2,1,1,0,3,1,0,1,3,1,0,0,0,1,0,1,0,2,2,2,NA,NA,NA,13,9,3,9,2,1,9,2,NA,1,34,2,"AGES"
"35",1,0,1,2,1,1,1,0,0,1,1,2,0,0,1,1,0,1,1,2,1,1,1,1,1,1,0,2,0,1,1,0,1,0,0,1,1,1,0,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,2,2,1,2,1,1,0,1,1,1,1,0,1,NA,NA,NA,15,5,3,9,6,2,9,2,NA,1,35,2,"AGES"
"36",0,0,0,0,0,0,0,NA,NA,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,NA,0,0,0,0,3,3,0,3,3,3,0,2,0,3,3,2,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,3,3,NA,NA,NA,7,13,3,3,3,2,9,1,NA,1,36,2,"AGES"
"37",1,0,1,0,0,0,0,2,1,1,0,1,2,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,1,0,1,0,1,1,1,0,0,2,1,0,1,2,0,2,0,2,1,1,2,0,1,1,0,0,1,0,0,0,1,2,1,0,2,1,1,2,NA,NA,NA,14,4,4,12,2,1,9,2,NA,1,37,2,"AGES"
"38",1,3,1,0,1,3,0,0,0,0,1,0,0,2,1,1,0,2,3,2,3,0,NA,0,1,2,1,0,1,2,2,3,NA,1,0,2,2,2,1,2,0,3,0,1,1,0,1,2,1,2,2,0,2,3,2,3,1,3,0,2,3,1,3,0,0,3,1,3,0,0,0,0,NA,NA,NA,17,13.3,2,9,5,2,9,1,NA,1,38,2,"AGES"
"39",2,0,2,0,2,0,0,2,2,2,0,2,3,0,3,2,2,1,1,0,0,0,1,2,1,2,0,0,2,0,0,0,2,0,2,1,1,0,1,2,0,0,0,2,3,2,0,2,0,2,0,0,0,1,2,0,2,2,1,0,1,0,0,1,2,2,2,0,2,1,1,2,NA,NA,NA,13,11,2,9,4,1,9,2,NA,1,39,2,"AGES"
"40",2,1,2,1,2,1,0,0,1,2,1,3,1,2,2,1,1,0,1,1,2,0,2,1,2,1,0,1,1,0,1,0,1,2,1,1,2,2,1,2,1,1,1,2,2,1,0,1,1,NA,0,1,2,2,1,1,1,2,2,1,3,0,2,1,1,1,2,1,0,1,2,2,NA,NA,NA,16,10,0,8,6,1,9,1,NA,1,40,2,"AGES"
"41",0,0,0,0,0,0,0,2,3,0,0,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,3,2,0,0,0,3,2,2,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,3,2,NA,NA,NA,9,15,3,5,3,2,9,2,NA,1,41,2,"AGES"
"42",0,0,0,1,1,1,1,1,2,0,1,2,1,0,2,1,1,0,1,0,2,0,1,0,0,0,1,1,0,2,2,0,1,2,0,1,1,2,1,0,1,1,1,0,0,1,2,2,1,1,0,1,2,2,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,2,1,1,NA,NA,NA,17,4,0,10,5,1,9,1,NA,1,42,2,"AGES"
"43",1,0,1,0,1,0,0,2,2,1,0,1,2,0,2,2,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,2,0,0,0,1,0,1,1,0,0,3,1,1,0,3,2,0,2,0,3,1,1,3,0,2,0,0,0,1,0,0,0,1,2,1,0,2,1,1,3,NA,NA,NA,18,13.5,0,10,7,2,9,2,NA,1,43,2,"AGES"
"44",0,0,1,0,0,0,0,3,1,3,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,2,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,1,2,1,NA,NA,NA,11,11,2,8,4,1,9,1,NA,1,44,2,"AGES"
"45",2,0,1,0,0,0,0,2,1,2,0,0,2,0,2,2,2,0,1,0,1,1,2,1,1,1,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,1,1,2,0,1,3,0,3,0,2,1,1,2,0,0,1,0,0,1,0,0,1,1,3,0,0,2,0,0,2,NA,NA,NA,15,7.8,1,10,2,2,9,2,NA,1,45,2,"AGES"
"46",0,0,1,1,0,0,0,0,0,0,0,3,1,0,1,1,0,1,0,1,1,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,NA,3,1,1,1,0,0,1,1,1,0,2,0,0,1,3,0,1,0,1,1,0,1,1,0,2,1,NA,NA,NA,12,16,1,6,5,2,9,1,NA,1,46,2,"AGES"
"47",2,0,0,0,0,0,0,2,1,2,1,2,1,0,2,2,0,0,1,0,2,2,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,2,1,1,0,1,2,1,2,1,1,1,1,0,0,1,2,1,1,0,2,1,0,1,2,0,0,0,1,2,1,1,1,1,1,1,NA,NA,NA,13,18,0,6,5,2,9,2,NA,1,47,2,"AGES"
"48",0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,3,2,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,3,2,NA,NA,NA,17,1,2,11,6,1,9,1,NA,1,48,2,"AGES"
"49",1,0,0,0,0,0,0,1,2,1,0,2,2,0,1,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1,2,1,3,0,2,0,2,1,3,0,0,2,1,0,0,2,0,0,0,1,3,0,0,0,2,2,2,NA,NA,NA,16,5,2,10,6,1,9,2,NA,1,49,2,"AGES"
"50",1,0,2,0,1,0,0,2,2,2,0,1,2,1,2,2,2,0,1,0,1,0,1,2,1,1,0,0,2,0,0,0,2,0,1,1,2,0,1,2,1,0,2,2,1,1,2,2,0,2,0,2,2,2,2,1,2,1,1,0,1,0,0,1,2,2,1,1,2,1,1,2,NA,NA,NA,13,9,2,9,3,2,9,1,NA,1,50,2,"AGES"
"51",1,1,1,0,1,0,0,2,0,1,2,1,1,1,2,1,1,2,1,2,1,2,0,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,NA,1,2,2,1,2,1,1,1,2,2,2,1,0,1,2,1,2,0,1,2,1,2,1,1,1,2,NA,NA,NA,13,12,2,8,3,2,9,2,NA,1,51,2,"AGES"
"52",2,0,1,0,0,0,0,3,3,1,0,1,2,0,3,3,1,0,2,0,2,0,1,1,2,2,0,0,2,0,0,0,3,0,1,0,1,1,0,1,0,0,3,2,2,1,3,3,0,2,0,1,3,2,1,0,1,1,0,0,2,0,0,1,1,1,1,0,2,1,1,2,NA,NA,NA,18,8,1,11,6,2,9,1,NA,1,52,2,"AGES"
"53",0,0,0,0,0,0,0,1,1,2,0,1,0,2,1,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,0,1,1,1,0,0,1,1,2,0,1,0,2,3,3,0,0,2,0,0,1,3,1,1,0,0,1,0,1,0,0,1,1,NA,NA,NA,8,9,5,3,2,2,9,1,NA,1,53,2,"AGES"
"54",1,0,1,2,1,0,0,1,1,1,1,2,1,1,1,1,0,1,2,2,1,1,0,1,1,1,0,2,1,1,1,0,1,2,1,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,2,2,1,1,1,1,0,2,2,1,1,1,1,1,1,1,1,0,1,1,NA,NA,NA,15,8,2,8,5,2,9,2,NA,1,54,2,"AGES"
"55",0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,1,1,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,0,1,0,2,3,3,0,0,3,1,0,0,3,0,0,0,0,1,0,0,0,0,3,2,NA,NA,NA,15,11,2,9,4,2,9,1,NA,1,55,2,"AGES"
"56",1,0,2,0,1,0,0,2,2,1,0,2,2,0,3,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,1,1,1,1,0,2,2,0,1,0,2,1,1,1,0,1,0,0,1,2,0,0,0,2,2,1,1,1,1,1,2,NA,NA,NA,12,5,1,9,2,1,9,2,NA,1,56,2,"AGES"
"57",0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,2,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,0,0,1,1,1,NA,NA,NA,10,10,4,6,2,2,9,2,NA,1,57,2,"AGES"
"58",2,0,1,0,1,0,0,2,0,1,0,2,2,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,1,0,0,2,1,1,0,0,0,0,2,0,0,2,0,0,2,0,0,0,1,2,0,0,1,0,0,0,NA,NA,NA,16,7,1,9,6,2,9,1,NA,1,58,2,"AGES"
"59",1,0,1,0,2,0,0,2,0,1,0,1,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,3,2,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,1,3,0,2,2,2,NA,NA,NA,15,5,5,8,6,1,9,2,NA,1,59,2,"AGES"
"60",2,0,1,0,0,0,0,1,1,1,0,2,2,0,3,3,1,0,0,0,0,1,0,2,2,2,0,0,1,1,0,0,2,0,1,0,2,0,0,1,1,0,1,2,0,0,1,3,0,2,0,2,1,1,2,0,1,0,0,0,2,0,0,0,1,3,1,0,2,0,0,1,NA,NA,NA,10,13.3,3,8,1,1,9,1,NA,1,60,2,"AGES"
"61",1,0,1,0,0,0,0,1,2,1,1,1,1,1,2,2,2,1,2,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,2,2,1,1,1,1,0,0,0,0,2,2,2,0,1,0,2,1,1,2,0,2,2,0,1,3,0,0,0,1,3,0,1,1,2,1,2,NA,NA,NA,16,10,1,10,4,1,9,2,NA,1,61,2,"AGES"
"62",0,0,1,0,0,1,0,3,3,2,0,2,3,0,1,2,1,1,1,0,3,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,0,3,0,0,3,3,3,0,2,0,3,3,2,2,0,3,0,0,0,2,1,0,0,0,1,0,2,0,3,3,3,NA,NA,NA,8,8,3,4,3,1,9,1,NA,1,62,2,"AGES"
"63",2,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,2,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3,1,2,1,0,0,0,0,NA,NA,NA,16,13,1,10,5,2,9,2,NA,1,63,2,"AGES"
"64",2,0,0,0,0,0,0,3,0,1,0,2,3,0,1,1,1,0,0,0,3,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,2,1,1,1,2,3,0,1,0,3,3,2,2,0,2,1,0,0,3,0,0,0,2,3,0,0,1,2,3,3,NA,NA,NA,18,8,0,8,7,2,9,1,NA,1,64,2,"AGES"
"65",0,0,0,0,0,0,0,2,0,1,0,2,2,0,2,2,1,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,3,1,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,2,2,NA,NA,NA,12,11,4,6,5,2,9,1,NA,1,66,2,"AGES"
"66",2,0,2,0,2,0,0,0,NA,2,0,0,0,NA,1,2,2,0,1,2,0,0,2,2,2,3,2,2,2,0,0,1,2,0,1,2,1,3,3,2,0,3,0,1,0,0,0,0,0,1,2,0,0,0,2,0,0,2,0,3,0,0,0,2,3,2,2,3,2,0,0,0,NA,NA,NA,17,5,1,9,6,2,9,1,NA,1,67,2,"AGES"
"67",2,0,2,0,2,0,1,1,1,2,0,2,2,1,1,1,1,0,2,0,0,2,1,1,2,1,0,0,1,1,0,0,1,0,0,2,2,0,1,1,0,1,0,1,1,1,2,1,0,2,0,1,0,1,1,0,2,1,0,2,0,0,0,2,2,1,2,2,0,0,1,1,NA,NA,NA,10,12,2,7,1,1,9,2,NA,1,68,2,"AGES"
"68",3,0,3,1,3,0,2,0,0,3,0,3,0,0,2,0,1,0,1,0,0,0,3,3,2,3,0,0,3,0,0,0,1,2,3,2,2,1,3,3,0,0,0,1,2,0,0,2,0,2,0,0,0,1,1,0,0,2,3,0,0,0,0,3,3,2,3,1,0,0,0,0,NA,NA,NA,19,5,1,11,6,1,9,2,NA,1,69,2,"AGES"
"69",1,0,2,0,0,0,0,2,2,2,0,1,2,0,2,2,1,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,0,2,1,1,2,1,1,0,1,0,2,0,1,1,0,1,2,0,0,1,0,0,1,2,2,1,1,2,0,0,2,NA,NA,NA,10,18,3,7,1,2,9,2,NA,2,1,2,"AGES"
"70",1,0,1,0,0,2,0,2,2,1,2,1,2,0,1,2,1,1,1,1,2,1,0,0,1,1,0,2,0,1,0,1,0,0,1,0,2,0,1,0,1,1,2,1,0,1,3,2,1,1,0,2,2,1,0,2,2,1,0,1,2,1,1,0,1,1,1,1,0,2,2,1,NA,NA,NA,15,8,3,9,4,2,9,1,NA,2,2,2,"AGES"
